canonical_label,label_id_official40,label_id_local41,official40_label,total_files,aes-128-gcm_files,aes-256-gcm_files,chacha20-poly1305_files,mix_files
adblockplus.org,0,0,true,4005,1000,1000,1000,1005
arin.net,1,1,true,4005,1000,1000,1000,1005
cloudfront.net,2,2,true,4005,1000,1000,1000,1005
coinbase.com,3,3,true,4005,1000,1000,1000,1005
cookielaw.org,4,4,true,4005,1000,1000,1000,1005
ctfassets.net,5,5,true,4005,1000,1000,1000,1005
doubleclick.net,6,6,true,4005,1000,1000,1000,1005
flipboard.com,7,7,true,4005,1000,1000,1000,1005
garmin.com,8,8,true,4005,1000,1000,1000,1005
getpocket.com,,9,false,4005,1000,1000,1000,1005
gmx.net,9,10,true,4005,1000,1000,1000,1005
google-analytics.com,10,11,true,4005,1000,1000,1000,1005
google.com,11,12,true,4005,1000,1000,1000,1005
googleapis.com,12,13,true,4005,1000,1000,1000,1005
googletagmanager.com,13,14,true,4005,1000,1000,1000,1005
gstatic.com,14,15,true,4005,1000,1000,1000,1005
hotjar.com,15,16,true,4005,1000,1000,1000,1005
hs-scripts.com,16,17,true,4005,1000,1000,1000,1005
hsadspixel.net,17,18,true,4005,1000,1000,1000,1005
hubspot.com,18,19,true,4005,1000,1000,1000,1005
joinhoney.com,19,20,true,4005,1000,1000,1000,1005
like-video.com,20,21,true,4005,1000,1000,1000,1005
logitech.com,21,22,true,4005,1000,1000,1000,1005
mozilla.net,22,23,true,4005,1000,1000,1000,1005
naver.com,23,24,true,4005,1000,1000,1000,1005
onetrust.com,24,25,true,4005,1000,1000,1000,1005
qualified.com,25,26,true,4005,1000,1000,1000,1005
robinhood.com,26,27,true,4005,1000,1000,1000,1005
segment.com,27,28,true,4005,1000,1000,1000,1005
sharethis.com,28,29,true,4005,1000,1000,1000,1005
steamstatic.com,29,30,true,4005,1000,1000,1000,1005
trustarc.com,30,31,true,4005,1000,1000,1000,1005
twitter.com,31,32,true,4005,1000,1000,1000,1005
typekit.net,32,33,true,4005,1000,1000,1000,1005
ubuntu.com,33,34,true,4005,1000,1000,1000,1005
waze.com,34,35,true,4005,1000,1000,1000,1005
web.de,35,36,true,4005,1000,1000,1000,1005
wistia.com,36,37,true,4005,1000,1000,1000,1005
xnxx-cdn.com,37,38,true,4005,1000,1000,1000,1005
yahoo.co.jp,38,39,true,4005,1000,1000,1000,1005
yimg.jp,39,40,true,4005,1000,1000,1000,1005
