sha256,file_count,paths
30890a6c74f748d224b5fd1504bebc4e4103e5848d2fcb2acd4dc08ca3c2f761,3,/home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/extracted/V1/1.DataSet(USTC-TFC2016)/Benign/Skype.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/raw/V1/1.DataSet(USTC-TFC2016)/Benign/Skype.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/source_snapshots/SEU-Project4-official-github-tree/Benign/Skype.pcap
3762be5bc67bc591a899dd9f357a8b9fb8646f1cc4b8f53d31957aa3c2e3b97e,11,/home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/__MACOSX/USTC-TFC2016（whole）/source_snapshots/SEU-Project4-official-github-tree/Benign/._BitTorrent.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/__MACOSX/USTC-TFC2016（whole）/source_snapshots/SEU-Project4-official-github-tree/Benign/._FTP.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/__MACOSX/USTC-TFC2016（whole）/source_snapshots/SEU-Project4-official-github-tree/Benign/._Facetime.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/__MACOSX/USTC-TFC2016（whole）/source_snapshots/SEU-Project4-official-github-tree/Benign/._Gmail.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/__MACOSX/USTC-TFC2016（whole）/source_snapshots/SEU-Project4-official-github-tree/Benign/._MySQL.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/__MACOSX/USTC-TFC2016（whole）/source_snapshots/SEU-Project4-official-github-tree/Benign/._Outlook.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/__MACOSX/USTC-TFC2016（whole）/source_snapshots/SEU-Project4-official-github-tree/Benign/._Skype.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/__MACOSX/USTC-TFC2016（whole）/source_snapshots/SEU-Project4-official-github-tree/Benign/._WorldOfWarcraft.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/__MACOSX/USTC-TFC2016（whole）/source_snapshots/SEU-Project4-official-github-tree/Malware/._Miuref.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/__MACOSX/USTC-TFC2016（whole）/source_snapshots/SEU-Project4-official-github-tree/Malware/._Tinba.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/__MACOSX/USTC-TFC2016（whole）/source_snapshots/SEU-Project4-official-github-tree/Malware/._Zeus.pcap
4b6e69fe3c43e5277576491097429cb84b742764c9a1bdf463f0ef6c3377300d,3,/home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/extracted/V1/1.DataSet(USTC-TFC2016)/Benign/Outlook.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/raw/V1/1.DataSet(USTC-TFC2016)/Benign/Outlook.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/source_snapshots/SEU-Project4-official-github-tree/Benign/Outlook.pcap
64eede78604b245f9ef842295dd5963884d2c39e1a04f90cd3c5ffadc552d06f,3,/home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/extracted/V1/1.DataSet(USTC-TFC2016)/Benign/WorldOfWarcraft.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/raw/V1/1.DataSet(USTC-TFC2016)/Benign/WorldOfWarcraft.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/source_snapshots/SEU-Project4-official-github-tree/Benign/WorldOfWarcraft.pcap
6b10fa77c165de6d621842f9becb158d9630b0c913ddf6df2f943a839b142d17,3,/home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/extracted/V1/1.DataSet(USTC-TFC2016)/Benign/Gmail.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/raw/V1/1.DataSet(USTC-TFC2016)/Benign/Gmail.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/source_snapshots/SEU-Project4-official-github-tree/Benign/Gmail.pcap
b142bd39de652584521c1e5c0fa6d35630b69b27692e187b2b2aa14426bc699e,3,/home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/extracted/V1/1.DataSet(USTC-TFC2016)/Benign/Facetime.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/raw/V1/1.DataSet(USTC-TFC2016)/Benign/Facetime.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/source_snapshots/SEU-Project4-official-github-tree/Benign/Facetime.pcap
bccef78f0aaf26c3288094511b84b87717afa148bcff9203565d6049c8f3537e,2,/home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/extracted/V1/1.DataSet(USTC-TFC2016)/Benign/FTP.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/source_snapshots/SEU-Project4-official-github-tree/Benign/FTP.pcap
d38e6cd7e9e063afe5696fd6a605350b57cc430ac21b32acbec7af70ec45d414,3,/home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/extracted/V1/1.DataSet(USTC-TFC2016)/Malware/Zeus.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/raw/V1/1.DataSet(USTC-TFC2016)/Malware/Zeus.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/source_snapshots/SEU-Project4-official-github-tree/Malware/Zeus.pcap
ec2476c9fb34a202b11d1138286143ad2cd7055fbc9401baf150b3d513c3d0ae,3,/home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/extracted/V1/1.DataSet(USTC-TFC2016)/Malware/Miuref.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/raw/V1/1.DataSet(USTC-TFC2016)/Malware/Miuref.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/source_snapshots/SEU-Project4-official-github-tree/Malware/Miuref.pcap
f4c4c59d460c6748110e6a0288c84a1362d7a3fa8a34b7a5cbe423de9e903deb,3,/home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/extracted/V1/1.DataSet(USTC-TFC2016)/Benign/BitTorrent.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/raw/V1/1.DataSet(USTC-TFC2016)/Benign/BitTorrent.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/source_snapshots/SEU-Project4-official-github-tree/Benign/BitTorrent.pcap
fa5eda45d90a9c5835d9193d2708cac2a7380722be464bf961efe7b32f861b99,3,/home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/extracted/V1/1.DataSet(USTC-TFC2016)/Benign/MySQL.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/raw/V1/1.DataSet(USTC-TFC2016)/Benign/MySQL.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/source_snapshots/SEU-Project4-official-github-tree/Benign/MySQL.pcap
fd893402b392188a4c2a79055776e03def1b7f3ac528397464b93fa848bf9670,3,/home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/extracted/V1/1.DataSet(USTC-TFC2016)/Malware/Tinba.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/raw/V1/1.DataSet(USTC-TFC2016)/Malware/Tinba.pcap | /home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Dataset/ustc-tfc2016/USTC-TFC2016（whole）/source_snapshots/SEU-Project4-official-github-tree/Malware/Tinba.pcap
