class_name,split,tf_component_id,od_component_id,count,row_ratio,total_ratio,hungarian_matched_cell
FTP,train,0,0,14990,0.3727928376025864,0.18545094643078064,False
FTP,train,0,1,25220,0.6272071623974136,0.3120128665099592,True
FTP,train,1,0,35665,0.8780157557853274,0.441234690090313,True
FTP,train,1,1,4955,0.12198424421467258,0.061301496968947176,False
FTP,val,0,0,1819,0.36540779429489756,0.180045531030387,False
FTP,val,0,1,3159,0.6345922057051024,0.3126794021577749,True
FTP,val,1,0,4480,0.8741463414634146,0.44343264376917746,True
FTP,val,1,1,645,0.12585365853658537,0.06384242304266059,False
Cridex,train,0,0,6536,0.9927095990279465,0.49862679279829114,True
Cridex,train,0,1,48,0.007290400972053463,0.00366188587122368,False
Cridex,train,1,0,0,0.0,0.0,False
Cridex,train,1,1,6524,1.0,0.4977113213304852,True
Cridex,val,0,0,828,0.9975903614457832,0.5054945054945055,True
Cridex,val,0,1,2,0.0024096385542168677,0.001221001221001221,False
Cridex,val,1,0,0,0.0,0.0,False
Cridex,val,1,1,808,1.0,0.4932844932844933,True
Miuref,train,0,0,1917,0.3293248582717746,0.17779632721202004,False
Miuref,train,0,1,3904,0.6706751417282254,0.36208495640882954,True
Miuref,train,1,0,4961,1.0,0.4601187163791504,True
Miuref,train,1,1,0,0.0,0.0,False
Miuref,val,0,0,231,0.3347826086956522,0.17136498516320475,False
Miuref,val,0,1,459,0.6652173913043479,0.3405044510385757,True
Miuref,val,1,0,658,1.0,0.48813056379821956,True
Miuref,val,1,1,0,0.0,0.0,False
Outlook,train,0,0,264,0.045112781954887216,0.043861106496095696,False
Outlook,train,0,1,5588,0.9548872180451128,0.9283934208340255,True
Outlook,train,1,0,83,0.49700598802395207,0.013789666057484632,True
Outlook,train,1,1,84,0.5029940119760479,0.013955806612394086,False
Outlook,val,0,0,32,0.0438957475994513,0.04249667994687915,False
Outlook,val,0,1,697,0.9561042524005487,0.9256308100929614,True
Outlook,val,1,0,16,0.6666666666666666,0.021248339973439574,True
Outlook,val,1,1,8,0.3333333333333333,0.010624169986719787,False
