class_name,split,tf_component_id,od_component_id,count,row_ratio,total_ratio,hungarian_matched_cell
FTP,train,0,0,2759,0.46929749957475764,0.03413336632438451,False
FTP,train,0,1,861,0.14645347848273516,0.010651985648892737,False
FTP,train,0,2,2259,0.3842490219425072,0.027947544228627986,True
FTP,train,1,0,667,0.016392233964118947,0.008251886675739206,False
FTP,train,1,1,34417,0.8458343573359548,0.4257948781393047,True
FTP,train,1,2,5606,0.13777340869992627,0.06935543733762217,False
FTP,train,2,0,20407,0.5956335191617291,0.25246814301620685,True
FTP,train,2,1,13814,0.40319897259274395,0.1709018928615613,False
FTP,train,2,2,40,0.001167508245526984,0.0004948657676605221,False
FTP,val,0,0,330,0.45897079276773295,0.032663565277640305,False
FTP,val,0,1,83,0.11543810848400557,0.008215381569830744,False
FTP,val,0,2,306,0.42559109874826145,0.030288033257448284,True
FTP,val,1,0,74,0.01441652055328268,0.007324557062258735,False
FTP,val,1,1,4321,0.8418079096045198,0.4276947441354053,True
FTP,val,1,2,738,0.14377556984219755,0.07304760962090469,False
FTP,val,2,0,2601,0.6118560338743825,0.2574482826883104,True
FTP,val,2,1,1643,0.3864972947541755,0.16262496288231218,False
FTP,val,2,2,7,0.0016466713714420136,0.0006928635058893398,False
Cridex,train,0,0,0,0.0,0.0,False
Cridex,train,0,1,6526,0.991190765492102,0.49786389990845287,True
Cridex,train,0,2,58,0.008809234507897935,0.004424778761061947,False
Cridex,train,1,0,4260,0.9838337182448037,0.3249923710711016,True
Cridex,train,1,1,0,0.0,0.0,False
Cridex,train,1,2,70,0.016166281755196306,0.005340250228867867,False
Cridex,train,2,0,2163,0.9858705560619873,0.16501373207201708,False
Cridex,train,2,1,0,0.0,0.0,False
Cridex,train,2,2,31,0.014129443938012761,0.0023649679584986268,True
Cridex,val,0,0,0,0.0,0.0,False
Cridex,val,0,1,827,0.9963855421686747,0.5048840048840049,True
Cridex,val,0,2,3,0.0036144578313253013,0.0018315018315018315,False
Cridex,val,1,0,535,0.9780621572212066,0.3266178266178266,True
Cridex,val,1,1,0,0.0,0.0,False
Cridex,val,1,2,12,0.021937842778793418,0.007326007326007326,False
Cridex,val,2,0,260,0.9961685823754789,0.15873015873015872,False
Cridex,val,2,1,0,0.0,0.0,False
Cridex,val,2,2,1,0.0038314176245210726,0.0006105006105006105,True
Miuref,train,0,0,1637,0.8758694489031568,0.1518271192728622,False
Miuref,train,0,1,0,0.0,0.0,False
Miuref,train,0,2,232,0.12413055109684323,0.021517343721016508,True
Miuref,train,1,0,4617,0.9297221103503825,0.4282136894824708,True
Miuref,train,1,1,0,0.0,0.0,False
Miuref,train,1,2,349,0.0702778896496174,0.03236876275273604,False
Miuref,train,2,0,0,0.0,0.0,False
Miuref,train,2,1,3888,0.9850519381808969,0.3606010016694491,True
Miuref,train,2,2,59,0.014948061819103116,0.0054720831014654055,False
Miuref,val,0,0,192,0.8609865470852018,0.142433234421365,False
Miuref,val,0,1,0,0.0,0.0,False
Miuref,val,0,2,31,0.13901345291479822,0.022997032640949554,True
Miuref,val,1,0,604,0.9179331306990881,0.44807121661721067,True
Miuref,val,1,1,0,0.0,0.0,False
Miuref,val,1,2,54,0.08206686930091185,0.040059347181008904,False
Miuref,val,2,0,0,0.0,0.0,False
Miuref,val,2,1,459,0.9828693790149893,0.3405044510385757,True
Miuref,val,2,2,8,0.017130620985010708,0.005934718100890208,False
Outlook,train,0,0,5265,0.9253075571177505,0.8747300215982722,True
Outlook,train,0,1,29,0.005096660808435852,0.004818076092374148,False
Outlook,train,0,2,396,0.06959578207381371,0.06579165974414354,False
Outlook,train,1,0,190,0.8333333333333334,0.03156670543279615,False
Outlook,train,1,1,25,0.10964912280701754,0.004153513872736335,False
Outlook,train,1,2,13,0.05701754385964912,0.0021598272138228943,True
Outlook,train,2,0,17,0.16831683168316833,0.002824389433460708,False
Outlook,train,2,1,49,0.48514851485148514,0.008140887190563216,True
Outlook,train,2,2,35,0.3465346534653465,0.005814919421830869,False
Outlook,val,0,0,662,0.9430199430199431,0.8791500664010624,True
Outlook,val,0,1,5,0.007122507122507123,0.006640106241699867,False
Outlook,val,0,2,35,0.04985754985754986,0.04648074369189907,False
Outlook,val,1,0,26,0.7878787878787878,0.034528552456839307,False
Outlook,val,1,1,6,0.18181818181818182,0.00796812749003984,False
Outlook,val,1,2,1,0.030303030303030304,0.0013280212483399733,True
Outlook,val,2,0,2,0.1111111111111111,0.0026560424966799467,False
Outlook,val,2,1,11,0.6111111111111112,0.014608233731739707,True
Outlook,val,2,2,5,0.2777777777777778,0.006640106241699867,False
