analysis_scope,setting,class,class_index,train_n,gap,within_radius,normalized_gap,prototype_source,centroid_source
POST_HOC_DIAGNOSTIC_ONLY,high,adblockplus.org,0,2100,5.097260759145384,2.748421508689985,1.8546139094854328,frozen Stage7 best checkpoint,Known Train mu only
POST_HOC_DIAGNOSTIC_ONLY,high,arin.net,1,2097,3.9044354166791213,2.7164307550894886,1.4373403074471138,frozen Stage7 best checkpoint,Known Train mu only
POST_HOC_DIAGNOSTIC_ONLY,high,cloudfront.net,2,1431,5.0729778335290945,2.3578540543518383,2.151523256567137,frozen Stage7 best checkpoint,Known Train mu only
POST_HOC_DIAGNOSTIC_ONLY,high,coinbase.com,3,2094,4.550903361246827,2.9483431621092624,1.5435460226383837,frozen Stage7 best checkpoint,Known Train mu only
POST_HOC_DIAGNOSTIC_ONLY,high,ctfassets.net,4,1984,4.970168350603764,4.19364866061439,1.1851656523547707,frozen Stage7 best checkpoint,Known Train mu only
POST_HOC_DIAGNOSTIC_ONLY,high,flipboard.com,5,1276,3.5715463673139682,4.871448329374761,0.7331590372780096,frozen Stage7 best checkpoint,Known Train mu only
POST_HOC_DIAGNOSTIC_ONLY,high,garmin.com,6,1338,4.201359982960238,4.160631112912016,1.0097891086575361,frozen Stage7 best checkpoint,Known Train mu only
POST_HOC_DIAGNOSTIC_ONLY,high,google-analytics.com,7,1110,5.554036327736332,3.0617745817497646,1.8139925652404731,frozen Stage7 best checkpoint,Known Train mu only
POST_HOC_DIAGNOSTIC_ONLY,high,google.com,8,1593,4.941744516187158,4.224737110401419,1.1697164550240173,frozen Stage7 best checkpoint,Known Train mu only
POST_HOC_DIAGNOSTIC_ONLY,high,googleapis.com,9,1038,5.260839553972787,2.8929514143446715,1.818502560356515,frozen Stage7 best checkpoint,Known Train mu only
POST_HOC_DIAGNOSTIC_ONLY,high,googletagmanager.com,10,1104,4.938279366317544,3.938440713673247,1.253866625228892,frozen Stage7 best checkpoint,Known Train mu only
POST_HOC_DIAGNOSTIC_ONLY,high,gstatic.com,11,946,5.591079047122693,4.0037085096188925,1.3964750514904243,frozen Stage7 best checkpoint,Known Train mu only
POST_HOC_DIAGNOSTIC_ONLY,high,hotjar.com,12,1634,3.9487789029778857,4.049964470913249,0.975015689974054,frozen Stage7 best checkpoint,Known Train mu only
POST_HOC_DIAGNOSTIC_ONLY,high,hs-scripts.com,13,946,4.172959790513286,3.0228193581774994,1.3804859953752653,frozen Stage7 best checkpoint,Known Train mu only
POST_HOC_DIAGNOSTIC_ONLY,high,hubspot.com,14,867,5.380036096266922,1.0367584144028636,5.189286164960264,frozen Stage7 best checkpoint,Known Train mu only
POST_HOC_DIAGNOSTIC_ONLY,high,joinhoney.com,15,2100,4.078765975972926,3.840508541906683,1.0620379909239719,frozen Stage7 best checkpoint,Known Train mu only
POST_HOC_DIAGNOSTIC_ONLY,high,like-video.com,16,2100,4.318718523833925,2.3365572449539607,1.8483255795083335,frozen Stage7 best checkpoint,Known Train mu only
POST_HOC_DIAGNOSTIC_ONLY,high,logitech.com,17,1561,2.7150423775557457,4.804786399027415,0.5650703594451826,frozen Stage7 best checkpoint,Known Train mu only
POST_HOC_DIAGNOSTIC_ONLY,high,mozilla.net,18,1765,3.6688498716627738,1.1969132604449155,3.0652596081181285,frozen Stage7 best checkpoint,Known Train mu only
POST_HOC_DIAGNOSTIC_ONLY,high,qualified.com,19,1943,4.167806423343313,4.017504536141309,1.037411752955073,frozen Stage7 best checkpoint,Known Train mu only
POST_HOC_DIAGNOSTIC_ONLY,high,robinhood.com,20,2100,4.391402315958498,4.686924171407259,0.9369475919299906,frozen Stage7 best checkpoint,Known Train mu only
POST_HOC_DIAGNOSTIC_ONLY,high,segment.com,21,1485,4.626833482560272,2.9487643550044185,1.569075356838183,frozen Stage7 best checkpoint,Known Train mu only
POST_HOC_DIAGNOSTIC_ONLY,high,steamstatic.com,22,2099,4.4265634631447,3.567945484456348,1.2406477291844555,frozen Stage7 best checkpoint,Known Train mu only
POST_HOC_DIAGNOSTIC_ONLY,high,trustarc.com,23,1729,3.818438876257224,5.061310837970017,0.7544367454397877,frozen Stage7 best checkpoint,Known Train mu only
POST_HOC_DIAGNOSTIC_ONLY,high,typekit.net,24,1152,4.8054950658423,3.612146182856284,1.3303711485016319,frozen Stage7 best checkpoint,Known Train mu only
POST_HOC_DIAGNOSTIC_ONLY,high,ubuntu.com,25,2095,5.148779872515438,3.0128512651774075,1.7089392802177572,frozen Stage7 best checkpoint,Known Train mu only
POST_HOC_DIAGNOSTIC_ONLY,high,waze.com,26,2095,3.7125264327796614,3.5378116412212064,1.0493849897271936,frozen Stage7 best checkpoint,Known Train mu only
POST_HOC_DIAGNOSTIC_ONLY,high,web.de,27,2009,3.7322213625129645,3.518358640747564,1.060784798709423,frozen Stage7 best checkpoint,Known Train mu only
POST_HOC_DIAGNOSTIC_ONLY,high,yahoo.co.jp,28,2084,4.072715732867453,3.5911690418765625,1.13409190304761,frozen Stage7 best checkpoint,Known Train mu only
POST_HOC_DIAGNOSTIC_ONLY,high,yimg.jp,29,2101,4.147671349085245,3.6617442078853686,1.1327037372390616,frozen Stage7 best checkpoint,Known Train mu only
