analysis_scope,setting,contrast,from_score,to_score,from_AUROC,to_AUROC,delta_AUROC
POST_HOC_DIAGNOSTIC_ONLY,low,S1-S0,S0,S1,0.5008302761705445,0.4315973470392712,-0.0692329291312733
POST_HOC_DIAGNOSTIC_ONLY,low,S2-S1,S1,S2,0.4315973470392712,0.7171323813041158,0.2855350342648446
POST_HOC_DIAGNOSTIC_ONLY,low,S3-S2,S2,S3,0.7171323813041158,0.6705488530510075,-0.0465835282531083
POST_HOC_DIAGNOSTIC_ONLY,low,S4-S3,S3,S4,0.6705488530510075,0.6709010525667857,0.0003521995157781
POST_HOC_DIAGNOSTIC_ONLY,low,S5-S4,S4,S5,0.6709010525667857,0.8800054372358324,0.2091043846690466
POST_HOC_DIAGNOSTIC_ONLY,low,S6-S5,S5,S6,0.8800054372358324,0.892480302843777,0.0124748656079446
POST_HOC_DIAGNOSTIC_ONLY,medium,S1-S0,S0,S1,0.497969682435272,0.412626754097462,-0.08534292833781
POST_HOC_DIAGNOSTIC_ONLY,medium,S2-S1,S1,S2,0.412626754097462,0.6664637897641104,0.2538370356666483
POST_HOC_DIAGNOSTIC_ONLY,medium,S3-S2,S2,S3,0.6664637897641104,0.6838605309799193,0.0173967412158089
POST_HOC_DIAGNOSTIC_ONLY,medium,S4-S3,S3,S4,0.6838605309799193,0.6742941173783552,-0.009566413601564
POST_HOC_DIAGNOSTIC_ONLY,medium,S5-S4,S4,S5,0.6742941173783552,0.7797532546730253,0.10545913729467
POST_HOC_DIAGNOSTIC_ONLY,medium,S6-S5,S5,S6,0.7797532546730253,0.7953853989658134,0.0156321442927881
POST_HOC_DIAGNOSTIC_ONLY,high,S1-S0,S0,S1,0.4721331037905577,0.3793758514796203,-0.0927572523109374
POST_HOC_DIAGNOSTIC_ONLY,high,S2-S1,S1,S2,0.3793758514796203,0.686884974253986,0.3075091227743656
POST_HOC_DIAGNOSTIC_ONLY,high,S3-S2,S2,S3,0.686884974253986,0.6959695049320677,0.0090845306780816
POST_HOC_DIAGNOSTIC_ONLY,high,S4-S3,S3,S4,0.6959695049320677,0.6871890160679943,-0.0087804888640733
POST_HOC_DIAGNOSTIC_ONLY,high,S5-S4,S4,S5,0.6871890160679943,0.8044775808052609,0.1172885647372665
POST_HOC_DIAGNOSTIC_ONLY,high,S6-S5,S5,S6,0.8044775808052609,0.821250051181835,0.0167724703765741
