scenario,fold,seed,delta_auroc,delta_binary_f1,delta_ufar,delta_known_frr,delta_known_test_accuracy,delta_known_test_macro_f1,delta_normalized_prototype_gap_mean,dap_better_auroc,dap_lower_prototype_gap,dap_k1_minus_native_auroc,dap_k2_minus_k1_auroc
a1,0,2022,-0.2551,-0.9827160493827161,0.995,0.025,-0.23796381478074213,-0.21146862834320945,-1.0371118196143603,False,True,-0.22529999999999994,-0.09394999999999998
a1,1,2023,-0.14237500000000003,-0.9022152606847169,0.96,0.0,-0.006746396810794253,-0.03309731863507537,-0.9220165504696642,False,True,0.07527500000000009,-0.03974999999999995
a1,2,2024,-0.06672499999999992,-0.2263472192244046,0.365,0.009999999999999995,-0.006133088009812937,-0.020227214158351492,-1.0583387844047552,False,True,-0.0064750000000000085,-0.020724999999999993
a1,3,2025,-0.22107500000000002,-0.9731855981855982,0.995,0.0,-0.007973014412756774,-0.02554904971751293,-0.9650707901719504,False,True,0.07340000000000013,-0.13335000000000008
a1,4,2026,-0.1537249999999999,-0.8618155493155493,0.93,0.015,-0.009812940815700721,-0.012346882623490485,-1.1227019423396378,False,True,0.07529999999999992,-0.049575000000000036
a2,0,2022,-0.19637777777777765,-0.18790436489505868,0.25333333333333335,0.011666666666666672,-0.019224047535826627,-0.04348371079213886,-1.2713926831144677,False,True,0.09144444444444444,0.02338333333333331
a2,1,2023,-0.046122222222222176,-0.12032094134243898,0.15499999999999997,0.008333333333333338,-0.007689619014330629,-0.031507494044459405,-0.9992107033219917,False,True,0.058811111111110925,0.03124444444444463
a2,2,2024,-0.05342777777777763,-0.40115148009884855,0.4033333333333333,0.0016666666666666705,-0.06745893044390072,-0.03850739498343525,-1.3808387075884452,False,True,0.1319111111111111,0.03589444444444445
a2,3,2025,-0.004527777777777797,-0.09737258626147516,0.12333333333333335,0.010000000000000002,-0.007340090877315686,-0.04453820962061428,-1.037081981843147,False,True,0.06724166666666687,0.011541666666666561
a2,4,2026,-0.043106944444444295,-0.3140002914826633,0.3566666666666667,-0.003333333333333327,-0.02132121635791684,-0.025268566069561293,-0.9429110574192464,False,True,0.044426388888888946,-0.03310000000000002
a3,0,2022,-0.043831677313780015,-0.16171569490928306,0.2707045735475896,-0.0037082818294190342,-0.0942684766214178,-0.10131674177265892,-1.2322143645006123,False,True,0.02964639156828086,0.006018509322654242
a3,1,2023,-0.10233604948042796,-0.30175831136987774,0.42645241038318915,0.001236093943139678,-0.02601809954751133,-0.03149829318722097,-1.0725298414110827,False,True,0.08669617605400304,0.009621364103770791
a3,2,2024,-0.004906177566652126,-0.030724866188124977,0.04326328800988875,0.01236093943139678,-0.016968325791855254,-0.037196488382217674,-1.140780734081751,False,True,0.022885309122801067,0.001718919265800034
a3,3,2025,-0.07197917128228326,-0.36598108261256723,0.5142150803461063,-0.004944375772558719,-0.2861990950226244,-0.277838642449347,-1.2263709294517147,False,True,0.03911190699195255,-0.0007746596157872654
a3,4,2026,0.04100653800492304,0.09353862314863759,-0.16563658838071693,0.004944375772558712,-0.015082956259426905,-0.023658947775655803,-1.2800966091372916,True,True,-0.004210970219150734,0.0002230775224951742
