row_type,scenario,training_method,detector,metric,mean,median,std,min,max,positive_count,negative_count,zero_count
paired_delta,a1,DAP-B0,Native,delta_auroc,-0.16779999999999998,-0.1537249999999999,0.07334883690284397,-0.2551,-0.06672499999999992,0,5,0
paired_delta,a1,DAP-B0,Native,delta_binary_f1,-0.789255935358597,-0.9022152606847169,0.3186486568469411,-0.9827160493827161,-0.2263472192244046,0,5,0
paired_delta,a1,DAP-B0,Native,delta_ufar,0.849,0.96,0.271923702534369,0.365,0.995,5,0,0
paired_delta,a1,DAP-B0,Native,delta_known_frr,0.009999999999999998,0.009999999999999995,0.010606601717798213,0.0,0.025,3,0,2
paired_delta,a1,DAP-B0,Native,delta_known_test_accuracy,-0.053725850965961365,-0.007973014412756774,0.1030017393538371,-0.23796381478074213,-0.006133088009812937,0,5,0
paired_delta,a1,DAP-B0,Native,delta_known_test_macro_f1,-0.06053781869552795,-0.02554904971751293,0.08471218250157575,-0.21146862834320945,-0.012346882623490485,0,5,0
paired_delta,a1,DAP-B0,Native,delta_normalized_prototype_gap_mean,-1.0210479774000736,-1.0371118196143603,0.07893486066296283,-1.1227019423396378,-0.9220165504696642,0,5,0
paired_delta,a1,DAP,K1_K2_GAP,dap_k1_minus_native_auroc,-0.0015599999999999614,0.07340000000000013,0.12991711131525363,-0.22529999999999994,0.07529999999999992,3,2,0
paired_delta,a1,DAP,K1_K2_GAP,dap_k2_minus_k1_auroc,-0.06747,-0.049575000000000036,0.04559355560273845,-0.13335000000000008,-0.020724999999999993,0,5,0
method_metric,a1,B0,Native,auroc,0.9952249999999999,0.99745,0.004961885982164436,0.986575,0.998825,,,
method_metric,a1,B0,Native,binary_f1,0.9789247044531597,0.9778869778869779,0.0036212729747772503,0.975609756097561,0.9828009828009828,,,
method_metric,a1,B0,Native,ufar,0.002,0.0,0.0027386127875258306,0.0,0.005,,,
method_metric,a1,B0,Native,known_frr,0.041,0.04,0.00894427190999916,0.03,0.05,,,
method_metric,a1,B0,K1,auroc,0.971125,0.9750749999999999,0.013747272456745728,0.9475,0.9836,,,
method_metric,a1,B0,K1,binary_f1,0.8936925702949254,0.9504950495049505,0.11484683922463916,0.7033639143730887,0.9732360097323601,,,
method_metric,a1,B0,K1,ufar,0.135,0.04,0.18384776310850234,0.0,0.425,,,
method_metric,a1,B0,K1,known_frr,0.052000000000000005,0.055,0.012549900398011134,0.03,0.06,,,
method_metric,a1,B0,K2,auroc,0.947935,0.9653,0.04048693307722874,0.87565,0.96875,,,
method_metric,a1,B0,K2,binary_f1,0.7441314817202437,0.8854166666666666,0.22867903886209218,0.3816793893129771,0.9033942558746736,,,
method_metric,a1,B0,K2,ufar,0.33399999999999996,0.15,0.280031248256333,0.135,0.75,,,
method_metric,a1,B0,K2,known_frr,0.05500000000000001,0.06,0.013228756555322954,0.035,0.07,,,
method_metric,a1,B0,Native,known_test_accuracy,0.9927629561484208,0.9932536031892057,0.0016022509018844653,0.9901870591842993,0.9941735663906777,,,
method_metric,a1,B0,Native,known_test_macro_f1,0.9254027285012191,0.9300714993533665,0.010984938744726216,0.911532630272742,0.9380056169545876,,,
method_metric,a1,B0,Native,normalized_prototype_gap,1.0210565639757836,1.037120576026939,0.07893654511443816,0.9220242426916706,1.1227130011550668,,,
method_metric,a1,DAP,Native,auroc,0.8274250000000001,0.8328500000000001,0.07361166262896121,0.7405999999999999,0.930725,,,
method_metric,a1,DAP,Native,binary_f1,0.1896687690945627,0.07339449541284404,0.31641544029218344,0.0,0.7492625368731564,,,
method_metric,a1,DAP,Native,ufar,0.8510000000000002,0.96,0.27297893691638553,0.365,1.0,,,
method_metric,a1,DAP,Native,known_frr,0.051000000000000004,0.055,0.00961769203083567,0.035,0.06,,,
method_metric,a1,DAP,K1,auroc,0.825865,0.90815,0.17655386536408657,0.5153,0.931725,,,
method_metric,a1,DAP,K1,binary_f1,0.42977603026422945,0.4892086330935252,0.20872972247867372,0.09174311926605505,0.5967213114754099,,,
method_metric,a1,DAP,K1,ufar,0.693,0.66,0.16727970588209432,0.545,0.95,,,
method_metric,a1,DAP,K1,known_frr,0.053000000000000005,0.05,0.012041594578792298,0.04,0.07,,,
method_metric,a1,DAP,K2,auroc,0.7583949999999999,0.858575,0.202665180624349,0.42135,0.903525,,,
method_metric,a1,DAP,K2,binary_f1,0.3095679286271201,0.31620553359683795,0.12703456450822012,0.11504424778761062,0.4714285714285714,,,
method_metric,a1,DAP,K2,ufar,0.8009999999999999,0.8,0.09376833154109121,0.67,0.935,,,
method_metric,a1,DAP,K2,known_frr,0.05600000000000001,0.065,0.015165750888103104,0.035,0.07,,,
method_metric,a1,DAP,Native,known_test_accuracy,0.9390371051824593,0.9825206991720331,0.1024059044039523,0.7559030972094449,0.9880404783808647,,,
method_metric,a1,DAP,Native,known_test_macro_f1,0.8648649098056911,0.9041481115959267,0.09241286526342624,0.7000640019295326,0.9177784027962361,,,
method_metric,a1,DAP,Native,normalized_prototype_gap,8.586575709883844e-06,8.756412578808453e-06,1.958415851219329e-06,5.858850652555971e-06,1.1058815429062441e-05,,,
paired_delta,a2,DAP-B0,Native,delta_auroc,-0.06871249999999991,-0.046122222222222176,0.0738540614584216,-0.19637777777777765,-0.004527777777777797,0,5,0
paired_delta,a2,DAP-B0,Native,delta_binary_f1,-0.22414993281609696,-0.18790436489505868,0.12997050718988612,-0.40115148009884855,-0.09737258626147516,0,5,0
paired_delta,a2,DAP-B0,Native,delta_ufar,0.25833333333333336,0.25333333333333335,0.12208831047874959,0.12333333333333335,0.4033333333333333,5,0,0
paired_delta,a2,DAP-B0,Native,delta_known_frr,0.005666666666666671,0.008333333333333338,0.0063025568003963455,-0.003333333333333327,0.011666666666666672,4,1,0
paired_delta,a2,DAP-B0,Native,delta_known_test_accuracy,-0.0246067808458581,-0.019224047535826627,0.024801231945047714,-0.06745893044390072,-0.007340090877315686,0,5,0
paired_delta,a2,DAP-B0,Native,delta_known_test_macro_f1,-0.03666107510204182,-0.03850739498343525,0.008190774732284533,-0.04453820962061428,-0.025268566069561293,0,5,0
paired_delta,a2,DAP-B0,Native,delta_normalized_prototype_gap_mean,-1.1262870266574596,-1.037081981843147,0.18946298310451543,-1.3808387075884452,-0.9429110574192464,0,5,0
paired_delta,a2,DAP,K1_K2_GAP,dap_k1_minus_native_auroc,0.07876694444444446,0.06724166666666687,0.03426135769599387,0.044426388888888946,0.1319111111111111,5,0,0
paired_delta,a2,DAP,K1_K2_GAP,dap_k2_minus_k1_auroc,0.013792777777777787,0.02338333333333331,0.027789490836032386,-0.03310000000000002,0.03589444444444445,4,1,0
method_metric,a2,B0,Native,auroc,0.8534244444444443,0.8257833333333333,0.0637564874876217,0.7939833333333333,0.9458083333333333,,,
method_metric,a2,B0,Native,binary_f1,0.7979512950800978,0.7938044530493708,0.04273973252222525,0.7432567432567433,0.8615664845173042,,,
method_metric,a2,B0,Native,ufar,0.30533333333333335,0.31666666666666665,0.060706488761727746,0.21166666666666667,0.38,,,
method_metric,a2,B0,Native,known_frr,0.044,0.041666666666666664,0.0066248689714505996,0.03833333333333333,0.05333333333333334,,,
method_metric,a2,B0,K1,auroc,0.9622149999999999,0.9562527777777777,0.019050802837008402,0.9444388888888888,0.9852972222222222,,,
