scenario,fold,seed,method,best_epoch,stop_epoch,best_validation_accuracy,frozen_checkpoint_validation_accuracy_recomputed,frozen_checkpoint_validation_macro_f1,known_test_accuracy,known_test_macro_f1,prototype_in_optimizer,prototype_update,unknown_used_for_training_or_checkpoint_selection,checkpoint_sha256
a1,0,2022,B0,72,100,0.9938593797973595,0.9938593797973595,0.9358669147099028,0.9938669119901871,0.911532630272742,True,frozen v6 corrected reset logic,False,66e4000124740f8e51227f20fa3ca326558d67d3bd708abcb8ea33fd408e9df7
a1,0,2022,DAP,16,97,0.7580595640159656,0.7580595640159656,0.6907445360193394,0.7559030972094449,0.7000640019295326,False,ANCHOR_EVERY_EPOCH,False,5595f1d8b744fc1faf7b3a743fe77b489da5ea63c765b5f0d1777b83f1fac84e
a1,1,2023,B0,81,91,0.9926312557568314,0.9926312557568314,0.9404561458887826,0.9932536031892057,0.9309089017059816,True,frozen v6 corrected reset logic,False,40d2fd2b5f56285d01501cfe2b794d670e485a100ee2edf2268f67ef7d89c7c6
a1,1,2023,DAP,96,100,0.9828062634326067,0.9828062634326067,0.9222248836508818,0.9865072063784115,0.8978115830709062,False,ANCHOR_EVERY_EPOCH,False,af8b59f312e1e71b12c408a79d6d9beb6a139d36e0963f8297467712241da2af
a1,2,2024,B0,69,99,0.9938593797973595,0.9938593797973595,0.904015622132723,0.9941735663906777,0.9380056169545876,True,frozen v6 corrected reset logic,False,b5d484ac8197f03e86facbff8f282734fd1e87567baa2ce2af731b9ed3a0285e
a1,2,2024,DAP,81,91,0.9871046975744551,0.9871046975744551,0.9048579498146032,0.9880404783808647,0.9177784027962361,False,ANCHOR_EVERY_EPOCH,False,6677eacda5f3b242be24720c49c162c6fa7ca146a31c983866e06e5dce383be3
a1,3,2025,B0,66,100,0.9957015658581517,0.9957015658581517,0.9650087263527163,0.9901870591842993,0.9300714993533665,True,frozen v6 corrected reset logic,False,8d5044b8c93d27ebefbd7d5ad031ea91c28da618ba876ebc9e8d83b2c6eeb668
a1,3,2025,DAP,83,93,0.9886398526251151,0.9886398526251151,0.9486943450732293,0.9822140447715425,0.9045224496358536,False,ANCHOR_EVERY_EPOCH,False,407d95514a1f604b7aded81ba45d4765f0e367ed10f075e9ac68e68c0886ab5b
a1,4,2026,B0,56,98,0.9953945348480197,0.9953945348480197,0.951343323706498,0.9923336399877338,0.9164949942194172,True,frozen v6 corrected reset logic,False,ed1c5051ea7e01d0e06e94fa8bc0f76f7e001ef194a1cdf378fd7082da710fac
a1,4,2026,DAP,78,91,0.9834203254528707,0.9834203254528707,0.9081185265187482,0.9825206991720331,0.9041481115959267,False,ANCHOR_EVERY_EPOCH,False,234ea02a452a5859b6c94e35bcd6904e87bc8786867696236b795cb9952d65a6
