comparison,scenario,metric,paired_unit,paired_seeds,iterations,seed,observed_mean,ci_low,ci_high
R2-R0,a1,delta_auroc,seed,5,1000,0,-0.02409999999999999,-0.03283499999999999,-0.017118499999999943
R2-R0,a1,delta_binary_f1,seed,5,1000,0,-0.08523213415823423,-0.18668416497451226,-0.01121968774908253
R2-R0,a1,delta_ufar,seed,5,1000,0,0.133,0.007000000000000001,0.294
R2-R0,a1,delta_known_frr,seed,5,1000,0,0.010999999999999998,-0.005000000000000003,0.025999999999999995
R2-R0,a2,delta_auroc,seed,5,1000,0,0.10879055555555557,0.07588111111111111,0.14077277777777783
R2-R0,a2,delta_binary_f1,seed,5,1000,0,0.07507540571658784,0.05703225901543361,0.0929044681826616
R2-R0,a2,delta_ufar,seed,5,1000,0,-0.11666666666666665,-0.147,-0.08633333333333333
R2-R0,a2,delta_known_frr,seed,5,1000,0,-0.000666666666666664,-0.007333333333333329,0.006333333333333337
R2-R0,a3,delta_auroc,seed,5,1000,0,0.02304788068713992,0.009503713629578225,0.03937807209071016
R2-R0,a3,delta_binary_f1,seed,5,1000,0,0.054239380821739805,0.02686339179876045,0.09149655585625831
R2-R0,a3,delta_ufar,seed,5,1000,0,-0.09987639060568602,-0.15945611866501855,-0.05216316440049444
R2-R0,a3,delta_known_frr,seed,5,1000,0,-1.3877787807814458e-18,-0.004944375772558717,0.004456118665018534
R1-R0,a1,delta_auroc,seed,5,1000,0,-5.499999999998284e-05,-0.0010099999999999998,0.0012700000000000155
R1-R0,a1,delta_binary_f1,seed,5,1000,0,-0.0018937376296005448,-0.007156317835929493,0.0028694404591104615
R1-R0,a1,delta_ufar,seed,5,1000,0,-0.001,-0.003,0.0
R1-R0,a1,delta_known_frr,seed,5,1000,0,0.004999999999999999,-0.004000000000000001,0.014999999999999996
R1-R0,a2,delta_auroc,seed,5,1000,0,0.07396944444444449,0.050783333333333514,0.09688111111111115
R1-R0,a2,delta_binary_f1,seed,5,1000,0,0.05376072299987764,0.03977622502469891,0.06774522097505638
R1-R0,a2,delta_ufar,seed,5,1000,0,-0.08466666666666667,-0.11866666666666666,-0.05600000000000001
R1-R0,a2,delta_known_frr,seed,5,1000,0,0.0010000000000000037,-0.0023333333333333288,0.006341666666666664
R1-R0,a3,delta_auroc,seed,5,1000,0,0.02044765241466138,0.009749710075617157,0.03407402201133418
R1-R0,a3,delta_binary_f1,seed,5,1000,0,0.04671900084019278,0.02224761951229619,0.08200686632750512
R1-R0,a3,delta_ufar,seed,5,1000,0,-0.08652657601977749,-0.14709517923362175,-0.04351050679851669
R1-R0,a3,delta_known_frr,seed,5,1000,0,0.0014833127317676136,0.0004944375772558713,0.0022249690976514206
R3-R2,a1,delta_auroc,seed,5,1000,0,-0.023189999999999954,-0.04804999999999997,-0.008869999999999956
R3-R2,a1,delta_binary_f1,seed,5,1000,0,-0.14956108857468178,-0.2503122798248573,-0.068889079653806
R3-R2,a1,delta_ufar,seed,5,1000,0,0.199,0.125,0.27999999999999997
R3-R2,a1,delta_known_frr,seed,5,1000,0,0.0030000000000000027,-0.001999999999999996,0.0070000000000000045
R3-R2,a2,delta_auroc,seed,5,1000,0,-0.0007599999999999385,-0.007442777777777687,0.004394444444444479
R3-R2,a2,delta_binary_f1,seed,5,1000,0,-0.003450338507129458,-0.03645720196707316,0.021373424095806802
R3-R2,a2,delta_ufar,seed,5,1000,0,0.0016666666666666648,-0.04,0.054333333333333324
R3-R2,a2,delta_known_frr,seed,5,1000,0,0.0016666666666666642,-0.002000000000000004,0.004666666666666666
R3-R2,a3,delta_auroc,seed,5,1000,0,-0.0030219364656881133,-0.00451712119985149,-0.0012299822301946595
R3-R2,a3,delta_binary_f1,seed,5,1000,0,-0.0052252966472000175,-0.015436053290757878,0.0022887294847061313
R3-R2,a3,delta_ufar,seed,5,1000,0,0.009641532756489494,-0.0019777503090234864,0.024969097651421506
R3-R2,a3,delta_known_frr,seed,5,1000,0,0.0004944375772558726,-0.002966625463535227,0.004944375772558717
