scope,scenario,level,predictor,outcome,n,spearman_rho,p_value,used_for_tuning
scenario,a1,run,frozen_B0_normalized_prototype_gap,R1-R0_delta_auroc,5,0.8999999999999998,0.03738607346849874,False
scenario,a1,run,frozen_B0_normalized_prototype_gap,R2-R0_delta_auroc,5,-0.3,0.6238376647810728,False
scenario,a2,run,frozen_B0_normalized_prototype_gap,R1-R0_delta_auroc,5,0.39999999999999997,0.5046315754686911,False
scenario,a2,run,frozen_B0_normalized_prototype_gap,R2-R0_delta_auroc,5,0.09999999999999999,0.8728885715695383,False
scenario,a3,run,frozen_B0_normalized_prototype_gap,R1-R0_delta_auroc,5,0.09999999999999999,0.8728885715695383,False
scenario,a3,run,frozen_B0_normalized_prototype_gap,R2-R0_delta_auroc,5,0.09999999999999999,0.8728885715695383,False
pooled,all,run,frozen_B0_normalized_prototype_gap,R1-R0_delta_auroc,15,0.33571428571428563,0.22121153763932594,False
pooled,all,run,frozen_B0_normalized_prototype_gap,R2-R0_delta_auroc,15,0.23928571428571427,0.39037931192023567,False
scenario,a1,class,frozen_B0_normalized_prototype_gap,r1_minus_r0_known_f1,95,-0.03261973416208789,0.7536635048997204,False
scenario,a1,class,frozen_B0_normalized_prototype_gap,r2_minus_r0_known_f1,95,-0.16461325509708413,0.11091215028798804,False
scenario,a1,class,frozen_B0_normalized_prototype_gap,r0_minus_r1_absorption_rate,95,-0.09026895078977203,0.38432042756039275,False
scenario,a1,class,frozen_B0_normalized_prototype_gap,r0_minus_r2_absorption_rate,95,0.22573947829119334,0.02783640679871146,False
scenario,a2,class,frozen_B0_normalized_prototype_gap,r1_minus_r0_known_f1,85,0.18723708871574574,0.08618184763152427,False
scenario,a2,class,frozen_B0_normalized_prototype_gap,r2_minus_r0_known_f1,85,-0.08093599006572834,0.46151540366352817,False
scenario,a2,class,frozen_B0_normalized_prototype_gap,r0_minus_r1_absorption_rate,85,-0.18317072772819204,0.09335192372267696,False
scenario,a2,class,frozen_B0_normalized_prototype_gap,r0_minus_r2_absorption_rate,85,-0.14647978634925066,0.1809912361198119,False
scenario,a3,class,frozen_B0_normalized_prototype_gap,r1_minus_r0_known_f1,75,-0.1485773791572048,0.2033089509501114,False
scenario,a3,class,frozen_B0_normalized_prototype_gap,r2_minus_r0_known_f1,75,0.12369333129878975,0.29037912114746645,False
scenario,a3,class,frozen_B0_normalized_prototype_gap,r0_minus_r1_absorption_rate,75,-0.24566240032865855,0.033633544160680096,False
scenario,a3,class,frozen_B0_normalized_prototype_gap,r0_minus_r2_absorption_rate,75,-0.19640934953223557,0.09124260099333183,False
pooled,all,class,frozen_B0_normalized_prototype_gap,r1_minus_r0_known_f1,255,0.03898180688558332,0.535477178136728,False
pooled,all,class,frozen_B0_normalized_prototype_gap,r2_minus_r0_known_f1,255,-0.07097846923569255,0.25877487783335484,False
pooled,all,class,frozen_B0_normalized_prototype_gap,r0_minus_r1_absorption_rate,255,-0.12485585179990968,0.04639375937851078,False
pooled,all,class,frozen_B0_normalized_prototype_gap,r0_minus_r2_absorption_rate,255,-0.025519407509095666,0.6850540244581961,False
