row_type,scenario,fold,seed,method,accepted_unknown_total,top_absorption_hub_original_class,top_absorption_hub_count,top_absorption_hub_share,active_absorption_hubs
run,a1,0,2022,R0,1,15,1,1.0,1
run,a1,0,2022,R1,1,15,1,1.0,1
run,a1,0,2022,R2,8,15,8,1.0,1
run,a1,0,2022,R3,30,15,30,1.0,1
run,a1,1,2023,R0,0,0,0,0.0,0
run,a1,1,2023,R1,0,0,0,0.0,0
run,a1,1,2023,R2,42,15,42,1.0,1
run,a1,1,2023,R3,100,15,100,1.0,1
run,a1,2,2024,R0,0,0,0,0.0,0
run,a1,2,2024,R1,0,0,0,0.0,0
run,a1,2,2024,R2,0,0,0,0.0,0
run,a1,2,2024,R3,27,10,13,0.48148148148148145,3
run,a1,3,2025,R0,0,0,0,0.0,0
run,a1,3,2025,R1,0,0,0,0.0,0
run,a1,3,2025,R2,0,0,0,0.0,0
run,a1,3,2025,R3,27,15,27,1.0,1
run,a1,4,2026,R0,1,15,1,1.0,1
run,a1,4,2026,R1,0,0,0,0.0,0
run,a1,4,2026,R2,85,15,82,0.9647058823529412,3
run,a1,4,2026,R3,150,15,114,0.76,3
run,a2,0,2022,R0,127,18,90,0.7086614173228346,4
run,a2,0,2022,R1,35,18,29,0.8285714285714286,4
run,a2,0,2022,R2,34,18,34,1.0,1
run,a2,0,2022,R3,50,18,37,0.74,2
run,a2,1,2023,R0,179,18,165,0.9217877094972067,4
run,a2,1,2023,R1,121,18,117,0.9669421487603306,3
run,a2,1,2023,R2,86,18,81,0.9418604651162791,3
run,a2,1,2023,R3,44,18,42,0.9545454545454546,3
run,a2,2,2024,R0,228,18,196,0.8596491228070176,3
run,a2,2,2024,R1,193,18,179,0.927461139896373,3
run,a2,2,2024,R2,159,18,157,0.9874213836477987,2
run,a2,2,2024,R3,212,18,149,0.7028301886792453,2
run,a2,3,2025,R0,192,18,174,0.90625,4
run,a2,3,2025,R1,152,18,146,0.9605263157894737,3
run,a2,3,2025,R2,144,18,141,0.9791666666666666,3
run,a2,3,2025,R3,132,18,129,0.9772727272727273,3
run,a2,4,2026,R0,190,18,176,0.9263157894736842,4
run,a2,4,2026,R1,161,18,153,0.9503105590062112,3
run,a2,4,2026,R2,143,18,141,0.986013986013986,3
run,a2,4,2026,R3,133,18,132,0.9924812030075187,2
run,a3,0,2022,R0,36,10,21,0.5833333333333334,4
run,a3,0,2022,R1,13,10,6,0.46153846153846156,3
run,a3,0,2022,R2,5,6,3,0.6,2
run,a3,0,2022,R3,7,10,4,0.5714285714285714,3
run,a3,1,2023,R0,78,10,34,0.4358974358974359,5
run,a3,1,2023,R1,14,10,8,0.5714285714285714,4
run,a3,1,2023,R2,15,10,11,0.7333333333333333,2
run,a3,1,2023,R3,46,10,46,1.0,1
run,a3,2,2024,R0,99,6,48,0.48484848484848486,5
run,a3,2,2024,R1,35,10,19,0.5428571428571428,3
run,a3,2,2024,R2,5,6,4,0.8,2
run,a3,2,2024,R3,2,10,2,1.0,1
run,a3,3,2025,R0,50,6,26,0.52,4
run,a3,3,2025,R1,17,6,11,0.6470588235294118,5
run,a3,3,2025,R2,7,6,3,0.42857142857142855,3
run,a3,3,2025,R3,18,10,12,0.6666666666666666,4
run,a3,4,2026,R0,183,6,154,0.8415300546448088,3
run,a3,4,2026,R1,17,6,10,0.5882352941176471,3
run,a3,4,2026,R2,10,6,7,0.7,3
run,a3,4,2026,R3,8,6,4,0.5,3
scenario_summary,a1,,,R0,0.4,,0.4,0.4,0.4
scenario_summary,a1,,,R1,0.2,,0.2,0.2,0.2
scenario_summary,a1,,,R2,27.0,,26.4,0.5929411764705883,1.0
scenario_summary,a1,,,R3,66.8,,56.8,0.8482962962962963,1.8
scenario_summary,a2,,,R0,183.2,,160.2,0.8645328078201485,3.8
scenario_summary,a2,,,R1,132.4,,124.8,0.9267623184047634,3.2
scenario_summary,a2,,,R2,113.2,,110.8,0.978892500288946,2.4
scenario_summary,a2,,,R3,114.2,,97.8,0.8734259147009892,2.4
scenario_summary,a3,,,R0,89.2,,56.6,0.5731218617448126,4.2
scenario_summary,a3,,,R1,19.2,,10.8,0.5622236586942468,3.6
scenario_summary,a3,,,R2,8.4,,5.6,0.6523809523809524,2.4
scenario_summary,a3,,,R3,16.2,,13.6,0.7476190476190475,2.4
