method,protocol_id,true_class,predicted_class,count,true_class_support,error_rate_within_true_class
od,high_seed2022,rsync,sftp,14,191,0.07329842931937172
od,high_seed2022,rsync,ssh,1,191,0.005235602094240838
od,high_seed2022,sftp,rsync,83,166,0.5
od,high_seed2022,sftp,ssh,3,166,0.018072289156626505
od,high_seed2022,vimeo,youtube,2,121,0.01652892561983471
od,high_seed2022,vimeo,zoiper,1,121,0.008264462809917356
f0,high_seed2022,rsync,sftp,35,191,0.18324607329842932
f0,high_seed2022,rsync,ssh,1,191,0.005235602094240838
f0,high_seed2022,sftp,rsync,100,166,0.6024096385542169
f0,high_seed2022,sftp,ssh,3,166,0.018072289156626505
f0,high_seed2022,ssh,sftp,1,1356,0.0007374631268436578
f0,high_seed2022,vimeo,youtube,2,121,0.01652892561983471
f0,high_seed2022,vimeo,zoiper,1,121,0.008264462809917356
f0,high_seed2022,youtube,vimeo,1,34,0.029411764705882353
f0,high_seed2022,zoiper,ssh,1,93,0.010752688172043012
f2,high_seed2022,rsync,sftp,91,191,0.47643979057591623
f2,high_seed2022,rsync,ssh,3,191,0.015706806282722512
f2,high_seed2022,rsync,vimeo,2,191,0.010471204188481676
f2,high_seed2022,sftp,rsync,61,166,0.3674698795180723
f2,high_seed2022,sftp,ssh,3,166,0.018072289156626505
f2,high_seed2022,sftp,vimeo,1,166,0.006024096385542169
f2,high_seed2022,vimeo,rsync,1,121,0.008264462809917356
f2,high_seed2022,vimeo,ssh,1,121,0.008264462809917356
f2,high_seed2022,vimeo,youtube,4,121,0.03305785123966942
f2,high_seed2022,zoiper,ssh,1,93,0.010752688172043012
od,high_seed2023,scp,sftp,52,229,0.22707423580786026
od,high_seed2023,sftp,scp,94,166,0.5662650602409639
f0,high_seed2023,rdp,youtube,2,4,0.5
f0,high_seed2023,rdp,zoiper,1,4,0.25
f0,high_seed2023,scp,sftp,49,229,0.21397379912663755
f0,high_seed2023,sftp,scp,111,166,0.6686746987951807
f0,high_seed2023,vimeo,youtube,6,121,0.049586776859504134
f0,high_seed2023,youtube,scp,2,34,0.058823529411764705
f0,high_seed2023,youtube,vimeo,1,34,0.029411764705882353
f0,high_seed2023,zoiper,sftp,1,93,0.010752688172043012
f2,high_seed2023,rdp,scp,4,4,1.0
f2,high_seed2023,scp,youtube,1,229,0.004366812227074236
