method,protocol_id,setting,protocol_seed,class,local_label,precision,recall,f1,support,train_support,delta_precision_vs_od,delta_recall_vs_od,delta_f1_vs_od
od,high_seed2022,High,2022,rsync,0,0.6795366795366795,0.9214659685863874,0.7822222222222223,191,1530,0.0,0.0,0.0
f0,high_seed2022,High,2022,rsync,0,0.6078431372549019,0.8115183246073299,0.695067264573991,191,1530,-0.0716935422817776,-0.10994764397905754,-0.08715495764823122
f2,high_seed2022,High,2022,rsync,0,0.6050955414012739,0.4973821989528796,0.5459770114942528,191,1530,-0.07444113813540565,-0.4240837696335078,-0.23624521072796945
od,high_seed2022,High,2022,sftp,1,0.851063829787234,0.4819277108433735,0.6153846153846154,166,1336,0.0,0.0,0.0
f0,high_seed2022,High,2022,sftp,1,0.6363636363636364,0.3795180722891566,0.4754716981132075,166,1336,-0.2147001934235977,-0.10240963855421686,-0.13991291727140792
f2,high_seed2022,High,2022,sftp,1,0.5260416666666666,0.608433734939759,0.5642458100558659,166,1336,-0.3250221631205674,0.12650602409638556,-0.05113880532874948
od,high_seed2022,High,2022,ssh,2,0.9970588235294118,1.0,0.9985272459499264,1356,10851,0.0,0.0,0.0
f0,high_seed2022,High,2022,ssh,2,0.9963235294117648,0.9992625368731564,0.9977908689248896,1356,10851,-0.0007352941176469452,-0.0007374631268436405,-0.0007363770250368162
f2,high_seed2022,High,2022,ssh,2,0.9941348973607038,1.0,0.9970588235294118,1356,10851,-0.0029239261687079576,0.0,-0.0014684224205145924
od,high_seed2022,High,2022,vimeo,3,1.0,0.9752066115702479,0.9874476987447699,121,976,0.0,0.0,0.0
f0,high_seed2022,High,2022,vimeo,3,0.9915966386554622,0.975206611570248,0.9833333333333334,121,976,-0.008403361344537785,1.1102230246251565e-16,-0.004114365411436505
f2,high_seed2022,High,2022,vimeo,3,0.9745762711864406,0.950413223140496,0.9623430962343096,121,976,-0.025423728813559365,-0.024793388429751873,-0.025104602510460317
od,high_seed2022,High,2022,youtube,4,0.9444444444444444,1.0,0.9714285714285714,34,273,0.0,0.0,0.0
f0,high_seed2022,High,2022,youtube,4,0.9428571428571428,0.9705882352941176,0.9565217391304348,34,273,-0.0015873015873015817,-0.02941176470588236,-0.014906832298136607
f2,high_seed2022,High,2022,youtube,4,0.8947368421052632,1.0,0.9444444444444444,34,273,-0.049707602339181256,0.0,-0.026984126984127
od,high_seed2022,High,2022,zoiper,5,0.9893617021276596,1.0,0.9946524064171123,93,753,0.0,0.0,0.0
f0,high_seed2022,High,2022,zoiper,5,0.989247311827957,0.989247311827957,0.989247311827957,93,753,-0.00011439029970261583,-0.010752688172043001,-0.005405094589155279
f2,high_seed2022,High,2022,zoiper,5,1.0,0.989247311827957,0.9945945945945946,93,753,0.010638297872340385,-0.010752688172043001,-5.7811822517628286e-05
od,high_seed2023,High,2023,rdp,0,1.0,1.0,1.0,4,36,0.0,0.0,0.0
f0,high_seed2023,High,2023,rdp,0,1.0,0.25,0.4,4,36,0.0,-0.75,-0.6
f2,high_seed2023,High,2023,rdp,0,0.0,0.0,0.0,4,36,-1.0,-1.0,-1.0
od,high_seed2023,High,2023,scp,1,0.6531365313653137,0.7729257641921398,0.708,229,1832,0.0,0.0,0.0
f0,high_seed2023,High,2023,scp,1,0.6143344709897611,0.7860262008733624,0.6896551724137931,229,1832,-0.03880206037555256,0.013100436681222627,-0.018344827586206813
f2,high_seed2023,High,2023,scp,1,0.5643564356435643,0.9956331877729258,0.7203791469194313,229,1832,-0.08878009572174939,0.222707423580786,0.012379146919431316
od,high_seed2023,High,2023,sftp,2,0.5806451612903226,0.43373493975903615,0.496551724137931,166,1336,0.0,0.0,0.0
f0,high_seed2023,High,2023,sftp,2,0.5238095238095238,0.3313253012048193,0.4059040590405904,166,1336,-0.056835637480798784,-0.10240963855421686,-0.09064766509734062
f2,high_seed2023,High,2023,sftp,2,0.0,0.0,0.0,166,1336,-0.5806451612903226,-0.43373493975903615,-0.496551724137931
od,high_seed2023,High,2023,vimeo,3,1.0,1.0,1.0,121,976,0.0,0.0,0.0
f0,high_seed2023,High,2023,vimeo,3,0.9913793103448276,0.950413223140496,0.9704641350210972,121,976,-0.008620689655172376,-0.04958677685950397,-0.029535864978902815
f2,high_seed2023,High,2023,vimeo,3,0.9586776859504132,0.9586776859504132,0.9586776859504132,121,976,-0.04132231404958675,-0.04132231404958675,-0.04132231404958675
od,high_seed2023,High,2023,youtube,4,1.0,1.0,1.0,34,273,0.0,0.0,0.0
f0,high_seed2023,High,2023,youtube,4,0.7948717948717948,0.9117647058823528,0.8493150684931507,34,273,-0.20512820512820518,-0.08823529411764719,-0.15068493150684925
f2,high_seed2023,High,2023,youtube,4,0.7368421052631579,0.8235294117647058,0.7777777777777778,34,273,-0.26315789473684215,-0.17647058823529416,-0.2222222222222222
od,high_seed2023,High,2023,zoiper,5,1.0,1.0,1.0,93,753,0.0,0.0,0.0
f0,high_seed2023,High,2023,zoiper,5,0.989247311827957,0.989247311827957,0.989247311827957,93,753,-0.010752688172043001,-0.010752688172043001,-0.010752688172043001
f2,high_seed2023,High,2023,zoiper,5,1.0,0.9032258064516128,0.9491525423728812,93,753,0.0,-0.09677419354838723,-0.05084745762711884
od,high_seed2024,High,2024,netflix,0,1.0,0.75,0.8571428571428571,20,165,0.0,0.0,0.0
f0,high_seed2024,High,2024,netflix,0,0.0,0.0,0.0,20,165,-1.0,-0.75,-0.8571428571428571
f2,high_seed2024,High,2024,netflix,0,0.3428571428571428,0.6,0.4363636363636363,20,165,-0.6571428571428573,-0.15000000000000002,-0.4207792207792208
od,high_seed2024,High,2024,rdp,1,0.8,1.0,0.8888888888888888,4,36,0.0,0.0,0.0
f0,high_seed2024,High,2024,rdp,1,0.0,0.0,0.0,4,36,-0.8,-1.0,-0.8888888888888888
f2,high_seed2024,High,2024,rdp,1,0.3333333333333333,0.5,0.4,4,36,-0.46666666666666673,-0.5,-0.4888888888888888
od,high_seed2024,High,2024,scp,2,0.7318840579710145,0.8820960698689956,0.8,229,1832,0.0,0.0,0.0
f0,high_seed2024,High,2024,scp,2,0.6415094339622641,0.445414847161572,0.5257731958762887,229,1832,-0.0903746240087504,-0.4366812227074236,-0.27422680412371137
f2,high_seed2024,High,2024,scp,2,0.6454545454545455,0.6200873362445415,0.6325167037861916,229,1832,-0.08642951251646902,-0.2620087336244541,-0.16748329621380842
