class,local_label,train_support,val_support,precision,recall,f1,minority_class,feature,protocol_id
rsync,0,1530,191,0.6078431372549019,0.8115183246073299,0.695067264573991,False,f0,high_seed2022
sftp,1,1336,166,0.6363636363636364,0.3795180722891566,0.4754716981132075,False,f0,high_seed2022
ssh,2,10851,1356,0.9963235294117648,0.9992625368731564,0.9977908689248896,False,f0,high_seed2022
vimeo,3,976,121,0.9915966386554622,0.975206611570248,0.9833333333333334,True,f0,high_seed2022
youtube,4,273,34,0.9428571428571428,0.9705882352941176,0.9565217391304348,True,f0,high_seed2022
zoiper,5,753,93,0.989247311827957,0.989247311827957,0.989247311827957,True,f0,high_seed2022
rdp,0,36,4,1.0,0.25,0.4,True,f0,high_seed2023
scp,1,1832,229,0.6143344709897611,0.7860262008733624,0.6896551724137931,False,f0,high_seed2023
sftp,2,1336,166,0.5238095238095238,0.3313253012048193,0.4059040590405904,False,f0,high_seed2023
vimeo,3,976,121,0.9913793103448276,0.950413223140496,0.9704641350210972,False,f0,high_seed2023
youtube,4,273,34,0.7948717948717948,0.9117647058823528,0.8493150684931507,True,f0,high_seed2023
zoiper,5,753,93,0.989247311827957,0.989247311827957,0.989247311827957,True,f0,high_seed2023
netflix,0,165,20,0.0,0.0,0.0,True,f0,high_seed2024
rdp,1,36,4,0.0,0.0,0.0,True,f0,high_seed2024
scp,2,1832,229,0.6415094339622641,0.445414847161572,0.5257731958762887,False,f0,high_seed2024
sftp,3,1336,166,0.4186046511627907,0.6506024096385542,0.5094339622641509,False,f0,high_seed2024
skype,4,1017,126,0.9807692307692308,0.8095238095238095,0.8869565217391304,False,f0,high_seed2024
youtube,5,273,34,0.5172413793103449,0.8823529411764706,0.6521739130434783,True,f0,high_seed2024
netflix,0,165,20,1.0,0.7,0.8235294117647058,True,f0,high_seed2025
rdp,1,36,4,0.6666666666666666,0.5,0.5714285714285715,True,f0,high_seed2025
rsync,2,1530,191,0.0,0.0,0.0,False,f0,high_seed2025
scp,3,1832,229,0.5308056872037915,0.9781659388646288,0.6881720430107527,False,f0,high_seed2025
skype,4,1017,126,0.983739837398374,0.9603174603174603,0.9718875502008032,True,f0,high_seed2025
ssh,5,10851,1356,0.9934017595307918,0.9992625368731564,0.9963235294117648,False,f0,high_seed2025
netflix,0,165,20,0.0,0.0,0.0,True,f0,high_seed2026
rsync,1,1530,191,0.9424083769633508,0.9424083769633508,0.9424083769633508,False,f0,high_seed2026
skype,2,1017,126,1.0,0.8095238095238095,0.8947368421052632,False,f0,high_seed2026
ssh,3,10851,1356,0.9818840579710144,0.9992625368731564,0.990497076023392,False,f0,high_seed2026
vimeo,4,976,121,0.8712121212121212,0.950413223140496,0.9090909090909092,True,f0,high_seed2026
zoiper,5,753,93,0.9019607843137256,0.989247311827957,0.9435897435897436,True,f0,high_seed2026
netflix,0,165,20,0.0,0.0,0.0,True,f0,low_seed2022
rsync,1,1530,191,0.4913043478260869,0.5916230366492147,0.5368171021377672,False,f0,low_seed2022
sftp,2,1336,166,0.5460122699386503,0.536144578313253,0.541033434650456,False,f0,low_seed2022
skype,3,1017,126,0.943089430894309,0.9206349206349206,0.931726907630522,False,f0,low_seed2022
ssh,4,10851,1356,0.9954614220877458,0.9705014749262536,0.982823002240478,False,f0,low_seed2022
vimeo,5,976,121,0.7116564417177914,0.9586776859504132,0.8169014084507042,True,f0,low_seed2022
youtube,6,273,34,0.5,0.0294117647058823,0.0555555555555555,True,f0,low_seed2022
zoiper,7,753,93,0.8653846153846154,0.967741935483871,0.9137055837563453,True,f0,low_seed2022
rdp,0,36,4,1.0,0.25,0.4,True,f0,low_seed2023
rsync,1,1530,191,0.0,0.0,0.0,False,f0,low_seed2023
scp,2,1832,229,0.4236453201970443,0.7510917030567685,0.5417322834645669,False,f0,low_seed2023
sftp,3,1336,166,0.4137931034482758,0.4337349397590361,0.4235294117647059,False,f0,low_seed2023
ssh,4,10851,1356,0.9934065934065934,1.0,0.9966923925027564,False,f0,low_seed2023
vimeo,5,976,121,1.0,0.9834710743801652,0.9916666666666668,True,f0,low_seed2023
youtube,6,273,34,0.9444444444444444,1.0,0.9714285714285714,True,f0,low_seed2023
zoiper,7,753,93,1.0,1.0,1.0,True,f0,low_seed2023
netflix,0,165,20,0.3333333333333333,0.05,0.0869565217391304,True,f0,low_seed2024
rdp,1,36,4,0.0,0.0,0.0,True,f0,low_seed2024
scp,2,1832,229,0.5659824046920822,0.8427947598253275,0.6771929824561405,False,f0,low_seed2024
sftp,3,1336,166,0.0,0.0,0.0,False,f0,low_seed2024
skype,4,1017,126,0.954954954954955,0.8412698412698413,0.8945147679324894,False,f0,low_seed2024
vimeo,5,976,121,0.855072463768116,0.975206611570248,0.911196911196911,False,f0,low_seed2024
youtube,6,273,34,0.5714285714285714,0.3529411764705882,0.4363636363636363,True,f0,low_seed2024
zoiper,7,753,93,0.5139664804469274,0.989247311827957,0.6764705882352942,True,f0,low_seed2024
netflix,0,165,20,0.0,0.0,0.0,True,f0,low_seed2025
rdp,1,36,4,0.0,0.0,0.0,True,f0,low_seed2025
rsync,2,1530,191,0.0,0.0,0.0,False,f0,low_seed2025
scp,3,1832,229,0.4576271186440678,0.4716157205240174,0.464516129032258,False,f0,low_seed2025
sftp,4,1336,166,0.3361823361823361,0.7108433734939759,0.4564796905222437,False,f0,low_seed2025
skype,5,1017,126,0.9264705882352942,1.0,0.9618320610687024,True,f0,low_seed2025
ssh,6,10851,1356,0.9940915805022156,0.9926253687315634,0.9933579335793358,False,f0,low_seed2025
youtube,7,273,34,0.6410256410256411,0.7352941176470589,0.6849315068493151,True,f0,low_seed2025
netflix,0,165,20,0.8636363636363636,0.95,0.9047619047619048,True,f0,low_seed2026
rdp,1,36,4,1.0,0.75,0.8571428571428571,True,f0,low_seed2026
rsync,2,1530,191,0.6666666666666666,0.0104712041884816,0.0206185567010309,False,f0,low_seed2026
scp,3,1832,229,0.5436893203883495,0.9781659388646288,0.6989079563182528,False,f0,low_seed2026
skype,4,1017,126,0.984375,1.0,0.9921259842519684,False,f0,low_seed2026
ssh,5,10851,1356,0.9941262848751836,0.9985250737463128,0.9963208241353936,False,f0,low_seed2026
vimeo,6,976,121,0.9914529914529916,0.9586776859504132,0.9747899159663866,True,f0,low_seed2026
zoiper,7,753,93,0.989247311827957,0.989247311827957,0.989247311827957,True,f0,low_seed2026
netflix,0,165,20,0.4117647058823529,0.7,0.5185185185185185,True,f0,medium_seed2022
rsync,1,1530,191,0.6090225563909775,0.4240837696335078,0.5,False,f0,medium_seed2022
sftp,2,1336,166,0.5,0.6746987951807228,0.5743589743589743,False,f0,medium_seed2022
ssh,3,10851,1356,0.9963262307127112,1.0,0.9981597350018404,False,f0,medium_seed2022
vimeo,4,976,121,0.9833333333333332,0.975206611570248,0.979253112033195,False,f0,medium_seed2022
youtube,5,273,34,0.8333333333333334,0.4411764705882353,0.576923076923077,True,f0,medium_seed2022
zoiper,6,753,93,0.989010989010989,0.967741935483871,0.9782608695652174,True,f0,medium_seed2022
rdp,0,36,4,0.0,0.0,0.0,True,f0,medium_seed2023
rsync,1,1530,191,0.3157894736842105,0.5654450261780105,0.4052532833020638,False,f0,medium_seed2023
scp,2,1832,229,0.4475806451612903,0.4847161572052402,0.4654088050314465,False,f0,medium_seed2023
sftp,3,1336,166,0.8,0.0240963855421686,0.0467836257309941,False,f0,medium_seed2023
vimeo,4,976,121,0.9830508474576272,0.9586776859504132,0.9707112970711298,False,f0,medium_seed2023
youtube,5,273,34,0.925925925925926,0.7352941176470589,0.819672131147541,True,f0,medium_seed2023
zoiper,6,753,93,0.9479166666666666,0.978494623655914,0.962962962962963,True,f0,medium_seed2023
netflix,0,165,20,0.0,0.0,0.0,True,f0,medium_seed2024
rdp,1,36,4,0.0,0.0,0.0,True,f0,medium_seed2024
scp,2,1832,229,0.5382716049382716,0.9519650655021834,0.6876971608832807,False,f0,medium_seed2024
sftp,3,1336,166,0.0,0.0,0.0,False,f0,medium_seed2024
skype,4,1017,126,0.8879310344827587,0.8174603174603174,0.8512396694214875,False,f0,medium_seed2024
vimeo,5,976,121,0.6781609195402298,0.975206611570248,0.7999999999999999,False,f0,medium_seed2024
youtube,6,273,34,0.0,0.0,0.0,True,f0,medium_seed2024
netflix,0,165,20,0.0,0.0,0.0,True,f0,medium_seed2025
rdp,1,36,4,0.0,0.0,0.0,True,f0,medium_seed2025
rsync,2,1530,191,0.0,0.0,0.0,False,f0,medium_seed2025
scp,3,1832,229,0.5207100591715976,0.3842794759825327,0.4422110552763819,False,f0,medium_seed2025
skype,4,1017,126,0.8823529411764706,0.238095238095238,0.3749999999999999,False,f0,medium_seed2025
ssh,5,10851,1356,0.7839285714285714,0.9712389380530974,0.8675889328063241,False,f0,medium_seed2025
youtube,6,273,34,0.2207792207792207,0.5,0.3063063063063063,True,f0,medium_seed2025
netflix,0,165,20,1.0,0.85,0.9189189189189187,True,f0,medium_seed2026
rdp,1,36,4,1.0,0.5,0.6666666666666666,True,f0,medium_seed2026
rsync,2,1530,191,0.9836956521739132,0.9476439790575916,0.9653333333333332,False,f0,medium_seed2026
skype,3,1017,126,0.9402985074626866,1.0,0.9692307692307692,False,f0,medium_seed2026
ssh,4,10851,1356,0.991941391941392,0.9985250737463128,0.9952223447262036,False,f0,medium_seed2026
vimeo,5,976,121,1.0,0.950413223140496,0.9745762711864406,False,f0,medium_seed2026
zoiper,6,753,93,0.9680851063829788,0.978494623655914,0.9732620320855616,True,f0,medium_seed2026
rsync,0,1530,191,0.5855513307984791,0.806282722513089,0.6784140969162995,False,f1,high_seed2022
sftp,1,1336,166,0.5957446808510638,0.3373493975903614,0.4307692307692308,False,f1,high_seed2022
ssh,2,10851,1356,0.9970523212969786,0.9977876106194692,0.9974198304460008,False,f1,high_seed2022
vimeo,3,976,121,1.0,0.950413223140496,0.9745762711864406,True,f1,high_seed2022
youtube,4,273,34,0.8717948717948718,1.0,0.9315068493150686,True,f1,high_seed2022
zoiper,5,753,93,0.989247311827957,0.989247311827957,0.989247311827957,True,f1,high_seed2022
rdp,0,36,4,0.5,0.25,0.3333333333333333,True,f1,high_seed2023
scp,1,1832,229,0.6685393258426966,0.519650655021834,0.5847665847665847,False,f1,high_seed2023
sftp,2,1336,166,0.488479262672811,0.6385542168674698,0.5535248041775457,False,f1,high_seed2023
vimeo,3,976,121,1.0,0.975206611570248,0.98744769874477,False,f1,high_seed2023
youtube,4,273,34,0.825,0.9705882352941176,0.8918918918918919,True,f1,high_seed2023
zoiper,5,753,93,0.9782608695652174,0.967741935483871,0.972972972972973,True,f1,high_seed2023
netflix,0,165,20,0.0,0.0,0.0,True,f1,high_seed2024
rdp,1,36,4,0.3333333333333333,0.75,0.4615384615384615,True,f1,high_seed2024
scp,2,1832,229,0.5612745098039216,1.0,0.7189952904238619,False,f1,high_seed2024
sftp,3,1336,166,0.0,0.0,0.0,False,f1,high_seed2024
skype,4,1017,126,0.9834710743801652,0.9444444444444444,0.9635627530364372,False,f1,high_seed2024
youtube,5,273,34,0.6585365853658537,0.7941176470588235,0.72,True,f1,high_seed2024
