class,runs,total_validation_support,precision_mean,precision_std,recall_mean,recall_std,recall_min,recall_max,f1_mean,f1_std,f1_min,f1_max
netflix,11,220,0.8273786653272299,0.2153402257238543,0.7818181818181817,0.21245320340339335,0.25,1.0,0.795681411958179,0.21029947270468693,0.3225806451612903,1.0
rdp,11,44,0.8772727272727273,0.22512622721890532,0.8181818181818182,0.19656134827672414,0.5,1.0,0.8341269841269842,0.19504281109732238,0.4444444444444445,1.0
rsync,11,2101,0.5688451398224335,0.294988844121309,0.5425987624940505,0.40164455061830345,0.0,1.0,0.5151614999707946,0.35963417159847866,0.0,0.9973753280839897
scp,10,2290,0.5660287561774643,0.11367750657398049,0.7786026200873362,0.21619567485396324,0.3973799126637554,1.0,0.6460603425343713,0.1372336463152426,0.4272300469483567,0.8030592734225622
sftp,10,1660,0.6964117708062924,0.1408580945138382,0.4518072289156626,0.07443274294317526,0.3012048192771084,0.536144578313253,0.5426086790647326,0.08686122032015411,0.3861003861003861,0.652014652014652
skype,10,1260,0.9866356087283435,0.006289789046261275,0.9904761904761905,0.013898333901125636,0.9603174603174603,1.0,0.9884798662904137,0.0061559632155376715,0.9758064516129032,0.9960474308300395
ssh,10,13560,0.9989694487495206,0.0014374687182893775,0.9991150442477876,0.0010312771368438,0.9970501474926252,1.0,0.9990415958014506,0.0009222710142534207,0.9974236290025764,1.0
vimeo,11,1331,0.9910113034969165,0.009876603524781619,0.9782118707738543,0.012947924823151123,0.9586776859504132,0.9917355371900828,0.9844822553093754,0.00625423506364752,0.9747899159663866,0.995850622406639
youtube,11,374,0.8691951007740482,0.10177743799184341,0.8983957219251337,0.1591302247739734,0.4705882352941176,1.0,0.8797833991464575,0.12967774591729644,0.5714285714285714,0.9714285714285714
zoiper,10,930,0.9936165396332285,0.008972523544438503,0.9967741935483871,0.007257511373231748,0.978494623655914,1.0,0.9951755733212393,0.0069066440426455485,0.978494623655914,1.0
