application,appearances,recall_mean,recall_std,recall_min,recall_max
netflix,11,0.8363636363636363,0.07775252115175779,0.75,1.0
rdp,11,0.7045454545454546,0.312613615709989,0.25,1.0
rsync,11,0.5454545454545454,0.37996058437366315,0.0,0.9790575916230366
scp,10,0.7445414847161572,0.2525903004232645,0.24890829694323144,0.982532751091703
sftp,10,0.4710843373493975,0.06323229086234246,0.39759036144578314,0.5843373493975904
skype,10,0.9976190476190476,0.0038336975519019543,0.9920634920634921,1.0
ssh,10,0.9994837758112094,0.0004977496738278296,0.9985250737463127,1.0
vimeo,11,0.9864763335837715,0.010630507080885955,0.9669421487603306,1.0
youtube,11,0.9786096256684492,0.02312486450314402,0.9411764705882353,1.0
zoiper,10,0.9946236559139784,0.007603298722435988,0.978494623655914,1.0
