application,f1,local_label,precision,protocol_id,protocol_seed,recall,setting,support
rsync,0.7822222222222223,0,0.6795366795366795,high_seed2022,2022,0.9214659685863874,High,191
sftp,0.6153846153846154,1,0.851063829787234,high_seed2022,2022,0.4819277108433735,High,166
ssh,0.9985272459499264,2,0.9970588235294118,high_seed2022,2022,1.0,High,1356
vimeo,0.9874476987447699,3,1.0,high_seed2022,2022,0.9752066115702479,High,121
youtube,0.9714285714285714,4,0.9444444444444444,high_seed2022,2022,1.0,High,34
zoiper,0.9946524064171123,5,0.9893617021276596,high_seed2022,2022,1.0,High,93
rdp,1.0,0,1.0,high_seed2023,2023,1.0,High,4
scp,0.708,1,0.6531365313653137,high_seed2023,2023,0.7729257641921398,High,229
sftp,0.496551724137931,2,0.5806451612903226,high_seed2023,2023,0.43373493975903615,High,166
vimeo,1.0,3,1.0,high_seed2023,2023,1.0,High,121
youtube,1.0,4,1.0,high_seed2023,2023,1.0,High,34
zoiper,1.0,5,1.0,high_seed2023,2023,1.0,High,93
netflix,0.8571428571428571,0,1.0,high_seed2024,2024,0.75,High,20
rdp,0.8888888888888888,1,0.8,high_seed2024,2024,1.0,High,4
scp,0.8,2,0.7318840579710145,high_seed2024,2024,0.8820960698689956,High,229
sftp,0.6456140350877193,3,0.773109243697479,high_seed2024,2024,0.5542168674698795,High,166
skype,0.9920634920634921,4,0.9920634920634921,high_seed2024,2024,0.9920634920634921,High,126
youtube,0.9444444444444444,5,0.8947368421052632,high_seed2024,2024,1.0,High,34
netflix,1.0,0,1.0,high_seed2025,2025,1.0,High,20
rdp,0.6666666666666666,1,1.0,high_seed2025,2025,0.5,High,4
rsync,0.24369747899159663,2,0.6170212765957447,high_seed2025,2025,0.1518324607329843,High,191
scp,0.6968174204355109,3,0.5652173913043478,high_seed2025,2025,0.9082969432314411,High,229
skype,0.9882352941176471,4,0.9767441860465116,high_seed2025,2025,1.0,High,126
ssh,0.9977908689248896,5,0.9963235294117647,high_seed2025,2025,0.9992625368731564,High,1356
netflix,0.926829268292683,0,0.9047619047619048,high_seed2026,2026,0.95,High,20
rsync,0.9894179894179894,1,1.0,high_seed2026,2026,0.9790575916230366,High,191
skype,0.9960474308300395,2,0.9921259842519685,high_seed2026,2026,1.0,High,126
ssh,0.998158379373849,3,0.9970566593083149,high_seed2026,2026,0.9992625368731564,High,1356
vimeo,0.9875518672199171,4,0.9916666666666667,high_seed2026,2026,0.9834710743801653,High,121
zoiper,1.0,5,1.0,high_seed2026,2026,1.0,High,93
netflix,0.8947368421052632,0,0.9444444444444444,low_seed2022,2022,0.85,Low,20
rsync,0.680306905370844,1,0.665,low_seed2022,2022,0.6963350785340314,Low,191
sftp,0.60625,2,0.6298701298701299,low_seed2022,2022,0.5843373493975904,Low,166
skype,0.984375,3,0.9692307692307692,low_seed2022,2022,1.0,Low,126
ssh,0.9988950276243094,4,0.9977924944812362,low_seed2022,2022,1.0,Low,1356
vimeo,0.9833333333333333,5,0.9915966386554622,low_seed2022,2022,0.9752066115702479,Low,121
youtube,0.9428571428571428,6,0.9166666666666666,low_seed2022,2022,0.9705882352941176,Low,34
zoiper,0.9891304347826086,7,1.0,low_seed2022,2022,0.978494623655914,Low,93
rdp,1.0,0,1.0,low_seed2023,2023,1.0,Low,4
