setting,seed,num_known_classes,num_unknown_classes,train_samples,val_samples,best_epoch,stop_epoch,train_loss,val_loss,val_accuracy,val_macro_f1,checkpoint_path,checkpoint_sha256,protocol_hash,status
High,2022,6,4,15719,1961,13,18,0.26306217855772857,0.2058922217200448,0.9260581336053034,0.8495720359839689,/home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Projects/unknown_traffic_project/stage14c_vnat_encoder_training/checkpoints/high_seed2022_best.pt,4f172c11428b99c99cf2b223710363c858e3bc674b0a6b809c5d52cbd2fae819,c904daef04d2c8e79469191121325c0a6ceeaeb3e595ef9c4c7d7a62c980ae2f,success
High,2023,6,4,5206,647,14,19,0.7973932394420831,0.6542466251522164,0.732612055641422,0.7174309577994314,/home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Projects/unknown_traffic_project/stage14c_vnat_encoder_training/checkpoints/high_seed2023_best.pt,cb5259c7471ef20f7e102210d4368908073b7e7d7f9c9b1bc75a4fe6312c4a17,c904daef04d2c8e79469191121325c0a6ceeaeb3e595ef9c4c7d7a62c980ae2f,success
High,2024,6,4,4659,579,10,15,1.3617667531373547,1.1812310762355982,0.5906735751295337,0.42905626548717474,/home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Projects/unknown_traffic_project/stage14c_vnat_encoder_training/checkpoints/high_seed2024_best.pt,504346167a01528b59d174878cd76f13128bd9c31f3157ef103115dbd6e55409,c904daef04d2c8e79469191121325c0a6ceeaeb3e595ef9c4c7d7a62c980ae2f,success
High,2025,6,4,15431,1926,16,21,0.3009887841973686,0.25977870788297547,0.8909657320872274,0.6752235176360997,/home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Projects/unknown_traffic_project/stage14c_vnat_encoder_training/checkpoints/high_seed2025_best.pt,d1fccfe3c7f1c52db54b4163804fb0d1aa60ea46d55b254ae0734ce7ddbba65e,c904daef04d2c8e79469191121325c0a6ceeaeb3e595ef9c4c7d7a62c980ae2f,success
High,2026,6,4,15292,1907,4,9,0.2764523758443587,0.2531123331346997,0.9669638175144205,0.7800538246287765,/home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Projects/unknown_traffic_project/stage14c_vnat_encoder_training/checkpoints/high_seed2026_best.pt,01983cec073f5b0649ff513b5800d804acc9113117ad2794b96876063fcb2191,c904daef04d2c8e79469191121325c0a6ceeaeb3e595ef9c4c7d7a62c980ae2f,success
Low,2022,8,2,16901,2107,8,13,0.529857236131762,0.4241139232037358,0.8737541528239202,0.5973203743027286,/home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Projects/unknown_traffic_project/stage14c_vnat_encoder_training/checkpoints/low_seed2022_best.pt,8da9bf333294b0fdc3028cc170aabc9b0acc2253c69fab54ae5dedd154a69a8d,c904daef04d2c8e79469191121325c0a6ceeaeb3e595ef9c4c7d7a62c980ae2f,success
Low,2023,8,2,17587,2194,18,23,0.43111609642248205,0.372389946143086,0.841841385597083,0.6656311657284084,/home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Projects/unknown_traffic_project/stage14c_vnat_encoder_training/checkpoints/low_seed2023_best.pt,9320e06bb490407c1554d3abaeec4c7478a11117f4d0eb0b33facdd8f005f82a,c904daef04d2c8e79469191121325c0a6ceeaeb3e595ef9c4c7d7a62c980ae2f,success
Low,2024,8,2,6388,793,10,15,0.9056810149194005,1.1664144568906305,0.6582597730138714,0.4603369259904503,/home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Projects/unknown_traffic_project/stage14c_vnat_encoder_training/checkpoints/low_seed2024_best.pt,d19a8378892da5941f470e3c51ca55b5c83bd48adada10bd02ea20fca8b6d0bd,c904daef04d2c8e79469191121325c0a6ceeaeb3e595ef9c4c7d7a62c980ae2f,success
Low,2025,8,2,17040,2126,4,9,0.7284332553545634,0.6298526149814351,0.8104421448730009,0.44513966513148184,/home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Projects/unknown_traffic_project/stage14c_vnat_encoder_training/checkpoints/low_seed2025_best.pt,c1cee25953f64fe681df125d2ca84f3a0693623c16315c7c290b5d3472e05757,c904daef04d2c8e79469191121325c0a6ceeaeb3e595ef9c4c7d7a62c980ae2f,success
Low,2026,8,2,17160,2140,18,23,0.25211276013256506,0.22930865911679849,0.9046728971962616,0.804239413888219,/home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Projects/unknown_traffic_project/stage14c_vnat_encoder_training/checkpoints/low_seed2026_best.pt,d58a64e17295be886032ca904e2605ab7bf3849cb9ab31990d0c218b6ee1cd4d,c904daef04d2c8e79469191121325c0a6ceeaeb3e595ef9c4c7d7a62c980ae2f,success
Medium,2022,7,3,15884,1981,15,20,0.31194733043096434,0.2533838199597305,0.9015648662291772,0.7322106123429747,/home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Projects/unknown_traffic_project/stage14c_vnat_encoder_training/checkpoints/medium_seed2022_best.pt,858f002268fe5c643cf97f6ef8477252eaef7d9a3bc23cc371970b41a663eced,c904daef04d2c8e79469191121325c0a6ceeaeb3e595ef9c4c7d7a62c980ae2f,success
Medium,2023,7,3,6736,838,8,13,1.417594605273702,1.1499119948657999,0.5429594272076372,0.5243988721780197,/home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Projects/unknown_traffic_project/stage14c_vnat_encoder_training/checkpoints/medium_seed2023_best.pt,50902984f79cbc0fd5f8be340054e822b38a48fde1a9b89d18f3440dc88a9ef0,c904daef04d2c8e79469191121325c0a6ceeaeb3e595ef9c4c7d7a62c980ae2f,success
Medium,2024,7,3,5635,700,11,16,1.6134233013972203,1.5841764313834055,0.6271428571428571,0.3341338329006812,/home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Projects/unknown_traffic_project/stage14c_vnat_encoder_training/checkpoints/medium_seed2024_best.pt,f39ad4620e74b1c78f1add8f2636b914d9976309a3d28d53446669dd37a2d031,c904daef04d2c8e79469191121325c0a6ceeaeb3e595ef9c4c7d7a62c980ae2f,success
Medium,2025,7,3,15704,1960,5,10,1.3678196556277866,1.153479431843271,0.7408163265306122,0.2844437563412875,/home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Projects/unknown_traffic_project/stage14c_vnat_encoder_training/checkpoints/medium_seed2025_best.pt,9d4bfc616913f02d1ab8d249c6b93b182e08f2a025e7f8ca2e62aa616baccaa4,c904daef04d2c8e79469191121325c0a6ceeaeb3e595ef9c4c7d7a62c980ae2f,success
Medium,2026,7,3,15328,1911,13,18,0.11848349371508915,0.11245778566377441,0.9869178440607012,0.923315762306842,/home/birkenwald/data/SEU-WXY/WXY-SEU/TrafficClassifier/Projects/unknown_traffic_project/stage14c_vnat_encoder_training/checkpoints/medium_seed2026_best.pt,df8c9482003f1df6141e609a1416c7c99a0306d48b96d8d1fc2e46fe354b5838,c904daef04d2c8e79469191121325c0a6ceeaeb3e595ef9c4c7d7a62c980ae2f,success
