comparison,lhs,rhs,setting,protocol_count,bootstrap_repetitions,bootstrap_seed,bootstrap_unit,delta_auroc_mean,delta_auroc_std,delta_auroc_ci95_low,delta_auroc_ci95_high,positive_auroc_protocols,negative_auroc_protocols,tie_auroc_protocols,delta_auprc_mean,delta_auprc_std,delta_auprc_ci95_low,delta_auprc_ci95_high,positive_auprc_protocols,negative_auprc_protocols,tie_auprc_protocols,delta_ufar_mean,delta_ufar_std,delta_ufar_ci95_low,delta_ufar_ci95_high,positive_ufar_protocols,negative_ufar_protocols,tie_ufar_protocols,delta_known_frr_mean,delta_known_frr_std,delta_known_frr_ci95_low,delta_known_frr_ci95_high,positive_known_frr_protocols,negative_known_frr_protocols,tie_known_frr_protocols,delta_known_macro_f1_mean,delta_known_macro_f1_std,delta_known_macro_f1_ci95_low,delta_known_macro_f1_ci95_high,positive_known_macro_f1_protocols,negative_known_macro_f1_protocols,tie_known_macro_f1_protocols
M1-M0,M1,M0,Low,5,10000,0,paired_protocol,-0.02078964098627014,0.04197756274532833,-0.05206454319546052,0.013538683074524372,2,3,0,0.0021702154669371865,0.05205016782579588,-0.03879079920581709,0.043131230139691466,2,3,0,0.014037061519103495,0.05878047798947277,-0.030400869263228953,0.058559846476668585,2,3,0,0.0007135556015344116,0.0040722864898888374,-0.002314301400840324,0.003741412603909147,3,2,0,-0.016773625132646706,0.018789714061917637,-0.03183445861003711,-0.0027624968458490164,1,4,0
M1-M0,M1,M0,Medium,5,10000,0,paired_protocol,0.04168363020544637,0.13069565040722697,-0.0475701324984644,0.15059750360271223,3,2,0,0.017838706486217614,0.04558641724431657,-0.008133043934249384,0.058364689162750547,3,2,0,0.013738716832623999,0.4129909477561473,-0.3182151716801442,0.3680484360926039,3,2,0,-0.0013744972846436749,0.0020568827757566086,-0.002872142496574602,0.00033069073783358174,1,3,1,-0.012071463393489856,0.0630745155302732,-0.06308544323534607,0.035508044603834124,3,2,0
M1-M0,M1,M0,High,5,10000,0,paired_protocol,0.021618858358912574,0.09834174747939503,-0.02808310342810605,0.10987299619503144,1,4,0,0.012684252393344498,0.037463991068915896,-0.011524458285091788,0.0464783001367229,4,1,0,0.0005534587089780551,0.027543281202064875,-0.021241611872505155,0.02087019018133568,2,3,0,-0.0009841524956601913,0.0028221619594389793,-0.0031281125228493968,0.001159807531529014,2,3,0,-0.018722505875249505,0.026890946312828005,-0.043083968466160694,-0.0014590637484963366,1,4,0
M1-M0,M1,M0,Overall,15,10000,0,paired_protocol,0.014170949192696266,0.09420023566562293,-0.027038463925515933,0.06453601124895614,6,9,0,0.010897724782166433,0.04259548917479194,-0.00884092214585539,0.032265448551178355,9,6,0,0.009443079020235178,0.22355793625650375,-0.10152369443262418,0.12652253913531375,7,8,0,-0.0005483647262564848,0.0030170914686802586,-0.0019338345019511574,0.0010009087649286517,6,8,1,-0.015855864800462024,0.03811185743071421,-0.034790399026395295,0.0025343853002923826,5,10,0
M2-M0,M2,M0,Low,5,10000,0,paired_protocol,-0.02329397223537253,0.056453716565309155,-0.06758468529216041,0.02099674082141536,2,3,0,0.0060837130606766765,0.06782111487944271,-0.0478780232667831,0.060045449388136454,3,2,0,-0.014762179502264706,0.06217157615360878,-0.05750271062608554,0.034218854741653884,2,3,0,0.0004730233065372985,0.003683729198056919,-0.002301198591432721,0.003247245204507318,3,2,0,-0.016773625132646706,0.018789714061917637,-0.03183445861003711,-0.0027624968458490164,1,4,0
M2-M0,M2,M0,Medium,5,10000,0,paired_protocol,0.045627650317791014,0.13119805469457338,-0.042555999088290795,0.15442089061652192,2,3,0,0.021774357753825968,0.0529699464869105,-0.005984275661746685,0.06892988367786941,2,3,0,-0.021979887962735044,0.42305709938302566,-0.36940956746803644,0.33624644532004444,2,3,0,0.0016168864381044784,0.004672940796476671,-0.0017056320761520151,0.005550011955614584,2,3,0,-0.012071463393489856,0.0630745155302732,-0.06308544323534607,0.035508044603834124,3,2,0
M2-M0,M2,M0,High,5,10000,0,paired_protocol,0.024314272441757566,0.10650672167438598,-0.03408713457956347,0.11910377913810426,2,3,0,0.015033287196540757,0.04556732631352591,-0.01638703166425688,0.055929716617576286,4,1,0,-0.02502808439937305,0.03634881697491425,-0.057333443341326375,-0.0022889978044446924,1,4,0,0.0022577407080868637,0.005157540948083971,-0.002010895739067023,0.006296210363556281,4,1,0,-0.018722505875249505,0.026890946312828005,-0.043083968466160694,-0.0014590637484963366,1,4,0
M2-M0,M2,M0,Overall,15,10000,0,paired_protocol,0.015549316841392017,0.09979485823230477,-0.02860402170380658,0.0686493376032034,6,9,0,0.014297119337014467,0.052472547739146044,-0.01015460899357677,0.040689156237823335,9,6,0,-0.0205900506214576,0.22942993985532792,-0.13555682297225297,0.09868023626725511,5,10,0,0.0014492168175762137,0.004277847833928622,-0.0005968606000577105,0.0036210783911045197,9,6,0,-0.015855864800462024,0.03811185743071421,-0.034790399026395295,0.0025343853002923826,5,10,0
M2-M1,M2,M1,Low,5,10000,0,paired_protocol,-0.0025043312491023874,0.017069886457336862,-0.015520142096699895,0.010511479598495122,3,2,0,0.00391349759373949,0.016539690168281048,-0.009087224060966004,0.016364616296274635,3,2,0,-0.0287992410213682,0.02271799016190033,-0.04624608363336972,-0.011352398409366683,0,5,0,-0.0002405322949971131,0.001316840250783843,-0.001238275723973517,0.0007842969647364779,2,3,0,0.0,0.0,0.0,0.0,0,0,5
M2-M1,M2,M1,Medium,5,10000,0,paired_protocol,0.003944020112344649,0.021367122647173407,-0.012144849712768547,0.020480663371250075,3,2,0,0.003935651267608353,0.010672169503133157,-0.005126496207033648,0.012555275059274807,4,1,0,-0.03571860479535904,0.04212914272122281,-0.07022706230391065,-0.005004800346400851,1,4,0,0.0029913837227481532,0.003143670959939477,0.0010794692435278004,0.005740835770870503,5,0,0,0.0,0.0,0.0,0.0,0,0,5
