setting,method,protocol_count,auroc_mean,auroc_std,auroc_min,auroc_max,auprc_mean,auprc_std,auprc_min,auprc_max,ufar_mean,ufar_std,ufar_min,ufar_max,known_frr_mean,known_frr_std,known_frr_min,known_frr_max,known_macro_f1_mean,known_macro_f1_std,known_macro_f1_min,known_macro_f1_max
Low,M0,5,0.8736443564150582,0.08216480585262244,0.7711792261924145,0.9388747664846079,0.8169549036912853,0.13040562847081535,0.6846271549165774,0.9927170925345272,0.5688018034067788,0.37496670030555745,0.16824966078697423,0.9772922022279349,0.045767310752364246,0.005701853074458462,0.03762935089369708,0.053738317757009345,0.7920934060119798,0.060350183191454576,0.7123905776478676,0.862404145216893
Low,M1,5,0.852854715428788,0.11523430894907999,0.7201785888734341,0.9691099693378635,0.8191251191582225,0.16771135602419113,0.6300968358788682,0.9919128752929638,0.5828388649258822,0.36931463079954613,0.16350067842605157,0.9592973436161096,0.046480866353898656,0.008507504038041559,0.03386641580432737,0.056074766355140186,0.7753197808793332,0.07509201819923453,0.6830768971429808,0.8558766562484796
Low,M2,5,0.8503503841796857,0.1313410735741723,0.7002900499155669,0.9754263818060604,0.8230386167519621,0.18046780637439067,0.6220490883061324,0.99358122883196,0.554039623904514,0.39057110445110743,0.12143826322930801,0.9502999143101971,0.046240334058901544,0.007750873577200825,0.03527751646284102,0.05514018691588785,0.7753197808793332,0.07509201819923453,0.6830768971429808,0.8558766562484796
Medium,M0,5,0.8045280632872259,0.1256011810134041,0.6023353341336534,0.9098098603398957,0.8953310829381836,0.09305206785184357,0.7916663394620764,0.9883333413426872,0.6518041004207074,0.2460092761378565,0.2531375654928719,0.9271923703186787,0.046495928438368486,0.005072525333267821,0.039285714285714285,0.05142857142857143,0.817842643627914,0.07961123065769339,0.7406212999724335,0.9402120732570577
Medium,M1,5,0.8462116934926722,0.060854373167381744,0.7835171286472253,0.9394084091381274,0.9131697894244013,0.07253608313105288,0.8200007160666891,0.9913560587902068,0.6655428172533313,0.2972477068309591,0.18294872647469576,0.9351011863224006,0.045121431153724814,0.005930388211283925,0.036224489795918365,0.0513126491646778,0.8057711802344242,0.11793142137372822,0.6475496048228873,0.9634799940954981
Medium,M2,5,0.8501557136050171,0.06870735680230507,0.760099369609887,0.9516739377792534,0.9171054406920096,0.07695505143766444,0.8081854806238915,0.9945274341079697,0.6298242124579723,0.3121055935785952,0.12841657245461197,0.9323098394975575,0.04811281487647297,0.00830536757504385,0.03775510204081633,0.059665871121718374,0.8057711802344242,0.11793142137372822,0.6475496048228873,0.9634799940954981
High,M0,5,0.8344331421297504,0.1065788392950597,0.6676764855585617,0.9213939208296769,0.9099188539056321,0.08164898854959099,0.8277387290680696,0.9923629438095065,0.5489041949260139,0.3465199554532439,0.1624874623871615,0.9323048583928161,0.0474676386429735,0.010055977748462439,0.03271028037383177,0.06027820710973725,0.8788808006764247,0.0664720489373894,0.8125491117417174,0.9905336027381063
High,M1,5,0.856052000488663,0.05614689920557172,0.7573953758834866,0.8918490173675859,0.9226031062989766,0.07650299085310011,0.8080340057575566,0.9931740692855897,0.549457653634992,0.32418442562537886,0.17782760044840404,0.9230946350448999,0.04648348614731332,0.008076241715445713,0.0347871235721703,0.0571870170015456,0.8601582948011753,0.08279111777019928,0.7479478071390036,0.981609420660682
High,M2,5,0.8587474145715079,0.06577641499059764,0.7419468803869935,0.8959151244871156,0.9249521411021728,0.08059309728571837,0.7981116442942575,0.9949875251157143,0.523876110526641,0.3274694192607233,0.16012744114697033,0.9224038682938062,0.04972537935106037,0.013636549394953972,0.03374870197300104,0.0695517774343122,0.8601582948011753,0.08279111777019928,0.7479478071390036,0.981609420660682
Overall,M0,15,0.837535187277345,0.1026637608141384,0.6023353341336534,0.9388747664846079,0.8740682801783671,0.10498980608878009,0.6846271549165774,0.9927170925345272,0.5898366995845,0.30642829003245603,0.1624874623871615,0.9772922022279349,0.04657695927790207,0.006786195826738663,0.03271028037383177,0.06027820710973725,0.8296056167721061,0.07438432534698942,0.7123905776478676,0.9905336027381063
Overall,M1,15,0.851706136470041,0.07596553414377767,0.7201785888734341,0.9691099693378635,0.8849660049605336,0.11640455781213378,0.6300968358788682,0.9931740692855897,0.5992797786047351,0.3111151418202765,0.16350067842605157,0.9592973436161096,0.04602859455164559,0.007057232086143895,0.03386641580432737,0.0571870170015456,0.8137497519716442,0.09414099143906265,0.6475496048228873,0.981609420660682
Overall,M2,15,0.8530845041187368,0.08678029315630333,0.7002900499155669,0.9754263818060604,0.8883653995153815,0.12308669027002685,0.6220490883061324,0.9949875251157143,0.5692466489630424,0.32277419592221473,0.12143826322930801,0.9502999143101971,0.048026176095478296,0.009600828660211072,0.03374870197300104,0.0695517774343122,0.8137497519716442,0.09414099143906265,0.6475496048228873,0.981609420660682
