analysis_level,dataset,dataset_scope,protocol_id,setting,seed,candidate,delta_auroc_vs_h0,delta_auprc_vs_h0,delta_ufar_vs_h0,delta_known_frr_vs_h0,delta_auroc_vs_des0,delta_auprc_vs_des0,delta_ufar_vs_des0,positive_vs_h0,negative_vs_h0,comparison,reference,protocols,mean_delta_auroc,std_delta_auroc,bootstrap_ci95_low_auroc,bootstrap_ci95_high_auroc,mean_delta_auprc,mean_delta_ufar,positive_protocols,negative_protocols,zero_protocols,worst_delta_auroc,best_delta_auroc,bootstrap_repetitions,bootstrap_seed
protocol,ISCX-VPN,supplementary_retrospective,iscx_vpn_high_seed2022,High,2022,H1,0.01570296501147328,0.008994312289982487,-0.0077605321507759895,-0.002517306482064191,-0.021290057775652294,-0.009382713022460631,0.006176750079189164,1,0,,,,,,,,,,,,,,,,
protocol,ISCX-VPN,supplementary_retrospective,iscx_vpn_high_seed2022,High,2022,H3,-0.018347452483049254,-0.0051161469664909864,-0.001425403864428243,-0.007551919446192573,-0.05534047527017483,-0.023493172278934105,0.01251187836553691,0,1,,,,,,,,,,,,,,,,
protocol,ISCX-VPN,supplementary_retrospective,iscx_vpn_high_seed2023,High,2023,H1,0.023629550084292295,0.0092454694058135,-0.008552423186569569,0.0018879798615481433,-0.02536916873668016,-0.0068029117801238215,-0.0025340513145390986,1,0,,,,,,,,,,,,,,,,
protocol,ISCX-VPN,supplementary_retrospective,iscx_vpn_high_seed2023,High,2023,H3,0.028893507450354072,0.01419599001455274,-0.007602153943617407,-0.0037759597230962866,-0.02010521137061838,-0.001852391171384582,-0.0015837820715869366,1,0,,,,,,,,,,,,,,,,
protocol,ISCX-VPN,supplementary_retrospective,iscx_vpn_high_seed2024,High,2024,H1,0.015009449866469904,0.007793763707527379,-0.023439974659486884,0.006922592825676525,-0.01158543064021278,-0.005796414374191983,0.00601837187203047,1,0,,,,,,,,,,,,,,,,
protocol,ISCX-VPN,supplementary_retrospective,iscx_vpn_high_seed2024,High,2024,H3,-0.03889944189872041,-0.012715120775729893,0.0036426987646499542,-0.002517306482064191,-0.0654943224054031,-0.026305298857449255,0.03310104529616731,0,1,,,,,,,,,,,,,,,,
protocol,ISCX-VPN,supplementary_retrospective,iscx_vpn_high_seed2025,High,2025,H1,0.01037182897226796,0.006220094056545777,-0.0003167564143173873,-0.003146633102580239,-0.011107604884945999,-0.005415435201733487,0.00601837187203047,1,0,,,,,,,,,,,,,,,,
protocol,ISCX-VPN,supplementary_retrospective,iscx_vpn_high_seed2025,High,2025,H3,-0.0372756915067618,-0.01168288630247405,-0.0012670256572695493,0.007551919446192573,-0.05875512536397576,-0.023318415560753314,0.005068102629078308,0,1,,,,,,,,,,,,,,,,
protocol,ISCX-VPN,supplementary_retrospective,iscx_vpn_high_seed2026,High,2026,H1,0.012183759386325876,0.005245883798959183,0.0012670256572695493,0.0,-0.01736678339542541,-0.00765010960319501,0.010928096293949974,1,0,,,,,,,,,,,,,,,,
protocol,ISCX-VPN,supplementary_retrospective,iscx_vpn_high_seed2026,High,2026,H3,-0.023866419693677088,-0.01107237139779349,0.0058599936648716655,0.004405286343612334,-0.053416962475428376,-0.023968364799947683,0.01552106430155209,0,1,,,,,,,,,,,,,,,,
protocol,ISCX-VPN,supplementary_retrospective,iscx_vpn_low_seed2022,Low,2022,H1,0.008781172686788685,0.0050611709448534214,-0.0010000000000000009,-0.0019792182088075178,-0.017743320138545293,-0.011300274041578018,0.0025000000000000577,1,0,,,,,,,,,,,,,,,,
protocol,ISCX-VPN,supplementary_retrospective,iscx_vpn_low_seed2022,Low,2022,H3,-0.0698565066798616,-0.040612258217154196,0.0044999999999999485,0.0014844136566056418,-0.09638099950519557,-0.056973703203585635,0.008000000000000007,0,1,,,,,,,,,,,,,,,,
protocol,ISCX-VPN,supplementary_retrospective,iscx_vpn_low_seed2023,Low,2023,H1,-0.014582384957941619,-0.007908359337083004,-0.0015000000000000568,0.0029688273132112836,-0.0258268184067294,-0.012151939538767698,0.0010000000000000009,0,1,,,,,,,,,,,,,,,,
protocol,ISCX-VPN,supplementary_retrospective,iscx_vpn_low_seed2023,Low,2023,H3,-0.02771462147451753,-0.0063822948305636285,-0.0020000000000000018,0.0019792182088075247,-0.038959054923305314,-0.010625875032248322,0.000500000000000056,0,1,,,,,,,,,,,,,,,,
protocol,ISCX-VPN,supplementary_retrospective,iscx_vpn_low_seed2024,Low,2024,H1,0.007777214250371145,0.004123142091523091,-0.0004999999999999449,-0.0019792182088075178,-0.012275729836714544,-0.008760670997911002,0.0015000000000000568,1,0,,,,,,,,,,,,,,,,
protocol,ISCX-VPN,supplementary_retrospective,iscx_vpn_low_seed2024,Low,2024,H3,-0.037268926274121594,-0.030224064860520594,0.012500000000000067,0.005937654626422567,-0.05732187036120728,-0.04310787794995469,0.014500000000000068,0,1,,,,,,,,,,,,,,,,
protocol,ISCX-VPN,supplementary_retrospective,iscx_vpn_low_seed2025,Low,2025,H1,0.005809252845126123,0.0028272384177827625,-0.0030000000000000027,0.0004948045522018829,-0.014322365165759576,-0.00807358073998432,-0.000500000000000056,1,0,,,,,,,,,,,,,,,,
protocol,ISCX-VPN,supplementary_retrospective,iscx_vpn_low_seed2025,Low,2025,H3,-0.06497340425531917,-0.04302186438456346,0.010500000000000065,-0.011380504700643244,-0.08510502226620487,-0.05392268354233054,0.013000000000000012,0,1,,,,,,,,,,,,,,,,
protocol,ISCX-VPN,supplementary_retrospective,iscx_vpn_low_seed2026,Low,2026,H1,0.003116773874319634,0.0014392961498490564,0.0025000000000000577,-0.0029688273132112836,-0.015743196437407292,-0.009848162479867861,0.0,1,0,,,,,,,,,,,,,,,,
protocol,ISCX-VPN,supplementary_retrospective,iscx_vpn_low_seed2026,Low,2026,H3,-0.03888631865413161,-0.03394093215952171,0.007000000000000006,0.00593765462642256,-0.05774628896585854,-0.045228390789238626,0.0044999999999999485,0,1,,,,,,,,,,,,,,,,
protocol,ISCX-VPN,supplementary_retrospective,iscx_vpn_medium_seed2022,Medium,2022,H1,0.014129035574748094,0.007870092638019854,-0.0028333333333333544,-0.0012338062924120916,-0.017788556446638015,-0.009221027464405895,0.0016666666666665941,1,0,,,,,,,,,,,,,,,,
protocol,ISCX-VPN,supplementary_retrospective,iscx_vpn_medium_seed2022,Medium,2022,H3,-0.01943198642813071,-0.005301147589981681,-0.0033333333333332993,-0.0006169031462060492,-0.05134957844951682,-0.02239226769240743,0.0011666666666666492,0,1,,,,,,,,,,,,,,,,
protocol,ISCX-VPN,supplementary_retrospective,iscx_vpn_medium_seed2023,Medium,2023,H1,-0.005893275755706362,-0.001259831723658622,0.0018333333333332424,-0.004935225169648366,-0.0009394406744807071,0.00022878946100057806,-0.0035000000000000586,0,1,,,,,,,,,,,,,,,,
protocol,ISCX-VPN,supplementary_retrospective,iscx_vpn_medium_seed2023,Medium,2023,H3,-0.0006286757145794741,-0.003165839454427055,0.009666666666666601,-0.002467612584824183,0.004325159366646181,-0.001677218269767855,0.0043333333333333,0,1,,,,,,,,,,,,,,,,
protocol,ISCX-VPN,supplementary_retrospective,iscx_vpn_medium_seed2024,Medium,2024,H1,0.01814785112070738,0.0072914853431608195,0.0,-0.0030845157310302324,-0.011682963191445461,-0.005482225090998827,0.0044999999999999485,1,0,,,,,,,,,,,,,,,,
protocol,ISCX-VPN,supplementary_retrospective,iscx_vpn_medium_seed2024,Medium,2024,H3,-0.03475534649393386,-0.014451053264992408,0.01200000000000001,-0.004935225169648366,-0.0645861608060867,-0.027224763699152055,0.01649999999999996,0,1,,,,,,,,,,,,,,,,
protocol,ISCX-VPN,supplementary_retrospective,iscx_vpn_medium_seed2025,Medium,2025,H1,0.011379395434916617,0.007033339174893238,-0.007333333333333414,-0.0018507094386181408,-0.010041178285009389,-0.006614134612418332,0.006000000000000005,1,0,,,,,,,,,,,,,,,,
protocol,ISCX-VPN,supplementary_retrospective,iscx_vpn_medium_seed2025,Medium,2025,H3,-0.05316065186099117,-0.017696783173160258,0.010333333333333306,-0.008019740900678592,-0.07458122558091718,-0.03134425696047183,0.023666666666666725,0,1,,,,,,,,,,,,,,,,
protocol,ISCX-VPN,supplementary_retrospective,iscx_vpn_medium_seed2026,Medium,2026,H1,0.004126927822331927,0.00313730212387886,-0.0040000000000000036,0.0,-0.009000462677359655,-0.005202664257159317,0.004166666666666652,1,0,,,,,,,,,,,,,,,,
protocol,ISCX-VPN,supplementary_retrospective,iscx_vpn_medium_seed2026,Medium,2026,H3,-0.03531734526012753,-0.012333827040149403,0.0014999999999999458,0.0,-0.04844473575981911,-0.02067379342118758,0.009666666666666601,0,1,,,,,,,,,,,,,,,,
protocol,ISCXTor2016,supplementary_retrospective,iscx_tor_high_seed2022,High,2022,H1,0.06208223804308133,0.022633115305487506,-0.01416666666666666,-0.00985761226725082,-0.028070646221248774,-0.00969993220831833,0.014499999999999957,1,0,,,,,,,,,,,,,,,,
protocol,ISCXTor2016,supplementary_retrospective,iscx_tor_high_seed2022,High,2022,H3,0.031284319094559976,0.019356072405858904,-0.03749999999999998,-0.006571741511500542,-0.058868565169770126,-0.012976975107946931,-0.00883333333333336,1,0,,,,,,,,,,,,,,,,
protocol,ISCXTor2016,supplementary_retrospective,iscx_tor_high_seed2023,High,2023,H1,0.011496622855056593,0.006403961073005671,-0.0003333333333332966,-0.002190580503833514,-0.011268528660094868,-0.00453132610542728,0.0008333333333333526,1,0,,,,,,,,,,,,,,,,
protocol,ISCXTor2016,supplementary_retrospective,iscx_tor_high_seed2023,High,2023,H3,-0.024290708287696194,-0.0058849263546094654,-0.0050000000000000044,0.001095290251916757,-0.047055859802847655,-0.016820213533042416,-0.0038333333333333552,0,1,,,,,,,,,,,,,,,,
protocol,ISCXTor2016,supplementary_retrospective,iscx_tor_high_seed2024,High,2024,H1,0.0639985396129974,0.019675044479549708,-0.013833333333333364,0.004381161007667028,-0.039935469149324554,-0.011106834841812185,0.015499999999999958,1,0,,,,,,,,,,,,,,,,
protocol,ISCXTor2016,supplementary_retrospective,iscx_tor_high_seed2024,High,2024,H3,0.034424516246805426,0.01643203276414229,-0.032333333333333325,0.015334063526834606,-0.06950949251551652,-0.014349846557219603,-0.0030000000000000027,1,0,,,,,,,,,,,,,,,,
protocol,ISCXTor2016,supplementary_retrospective,iscx_tor_high_seed2025,High,2025,H1,0.05146376414749909,0.016422394114330774,-0.010999999999999899,-0.001095290251916757,-0.028054673238408268,-0.008090475470705072,0.0030000000000000027,1,0,,,,,,,,,,,,,,,,
protocol,ISCXTor2016,supplementary_retrospective,iscx_tor_high_seed2025,High,2025,H3,0.011471705001825483,0.010579820083779556,-0.02066666666666661,0.004381161007667028,-0.06804673238408188,-0.01393304950125629,-0.00666666666666671,1,0,,,,,,,,,,,,,,,,
protocol,ISCXTor2016,supplementary_retrospective,iscx_tor_high_seed2026,High,2026,H1,0.043411372763782485,0.015388801524494955,-0.0020000000000000018,-0.001095290251916757,-0.027888189120116813,-0.0078450805873439,0.007833333333333359,1,0,,,,,,,,,,,,,,,,
protocol,ISCXTor2016,supplementary_retrospective,iscx_tor_high_seed2026,High,2026,H3,0.008559419496166454,0.011975938967697553,-0.03400000000000003,0.007667031763417306,-0.06274014238773284,-0.011257943144141302,-0.02416666666666667,1,0,,,,,,,,,,,,,,,,
protocol,ISCXTor2016,supplementary_retrospective,iscx_tor_low_seed2022,Low,2022,H1,0.038311119573495755,0.03017668219785552,-0.008000000000000007,0.0015232292460015256,-0.005321591774562151,-0.010332354636940044,0.009499999999999953,1,0,,,,,,,,,,,,,,,,
protocol,ISCXTor2016,supplementary_retrospective,iscx_tor_low_seed2022,Low,2022,H3,0.06313709063214012,0.054397495350774205,-0.021499999999999964,-0.0007616146230007628,0.01950437928408222,0.013888458515978641,-0.0040000000000000036,1,0,,,,,,,,,,,,,,,,
protocol,ISCXTor2016,supplementary_retrospective,iscx_tor_low_seed2023,Low,2023,H1,0.02582425742574246,0.0276238886881911,-0.02749999999999997,0.0007616146230007628,-0.014438499619192746,-0.016992481922812552,0.006000000000000005,1,0,,,,,,,,,,,,,,,,
protocol,ISCXTor2016,supplementary_retrospective,iscx_tor_low_seed2023,Low,2023,H3,0.03444821020563593,0.024982409814718554,0.006500000000000061,0.0007616146230007628,-0.005814546839299273,-0.0196339607962851,0.040000000000000036,1,0,,,,,,,,,,,,,,,,
