experiment,dataset,protocol_id,true_class,predicted_class,count,true_class_support,row_fraction
E0,iscx_tor,medium_seed2022,Browsing,Browsing,131,200,0.655
E0,iscx_tor,medium_seed2022,Browsing,FTP,1,200,0.005
E0,iscx_tor,medium_seed2022,Browsing,Facebook,4,200,0.02
E0,iscx_tor,medium_seed2022,Browsing,Hangouts,3,200,0.015
E0,iscx_tor,medium_seed2022,Browsing,Spotify,12,200,0.06
E0,iscx_tor,medium_seed2022,Browsing,Vimeo,33,200,0.165
E0,iscx_tor,medium_seed2022,Browsing,YouTube,16,200,0.08
E0,iscx_tor,medium_seed2022,Email,Browsing,3,54,0.05555555555555555
E0,iscx_tor,medium_seed2022,Email,Email,44,54,0.8148148148148148
E0,iscx_tor,medium_seed2022,Email,Vimeo,3,54,0.05555555555555555
E0,iscx_tor,medium_seed2022,Email,YouTube,4,54,0.07407407407407407
E0,iscx_tor,medium_seed2022,FTP,Browsing,1,200,0.005
E0,iscx_tor,medium_seed2022,FTP,Email,1,200,0.005
E0,iscx_tor,medium_seed2022,FTP,FTP,190,200,0.95
E0,iscx_tor,medium_seed2022,FTP,Facebook,4,200,0.02
E0,iscx_tor,medium_seed2022,FTP,Spotify,3,200,0.015
E0,iscx_tor,medium_seed2022,FTP,YouTube,1,200,0.005
E0,iscx_tor,medium_seed2022,Facebook,Browsing,3,85,0.03529411764705882
E0,iscx_tor,medium_seed2022,Facebook,FTP,5,85,0.058823529411764705
E0,iscx_tor,medium_seed2022,Facebook,Facebook,35,85,0.4117647058823529
E0,iscx_tor,medium_seed2022,Facebook,Hangouts,6,85,0.07058823529411765
E0,iscx_tor,medium_seed2022,Facebook,Spotify,1,85,0.011764705882352941
E0,iscx_tor,medium_seed2022,Facebook,Vimeo,33,85,0.38823529411764707
E0,iscx_tor,medium_seed2022,Facebook,YouTube,2,85,0.023529411764705882
E0,iscx_tor,medium_seed2022,Hangouts,Browsing,2,69,0.028985507246376812
E0,iscx_tor,medium_seed2022,Hangouts,FTP,1,69,0.014492753623188406
E0,iscx_tor,medium_seed2022,Hangouts,Facebook,2,69,0.028985507246376812
E0,iscx_tor,medium_seed2022,Hangouts,Hangouts,30,69,0.43478260869565216
E0,iscx_tor,medium_seed2022,Hangouts,Spotify,1,69,0.014492753623188406
E0,iscx_tor,medium_seed2022,Hangouts,Vimeo,20,69,0.2898550724637681
E0,iscx_tor,medium_seed2022,Hangouts,YouTube,13,69,0.18840579710144928
E0,iscx_tor,medium_seed2022,Spotify,Browsing,26,147,0.17687074829931973
E0,iscx_tor,medium_seed2022,Spotify,Email,2,147,0.013605442176870748
E0,iscx_tor,medium_seed2022,Spotify,Hangouts,2,147,0.013605442176870748
E0,iscx_tor,medium_seed2022,Spotify,Spotify,111,147,0.7551020408163265
E0,iscx_tor,medium_seed2022,Spotify,Vimeo,2,147,0.013605442176870748
E0,iscx_tor,medium_seed2022,Spotify,YouTube,4,147,0.027210884353741496
E0,iscx_tor,medium_seed2022,Vimeo,Browsing,9,152,0.05921052631578947
E0,iscx_tor,medium_seed2022,Vimeo,FTP,1,152,0.006578947368421052
E0,iscx_tor,medium_seed2022,Vimeo,Facebook,6,152,0.039473684210526314
E0,iscx_tor,medium_seed2022,Vimeo,Hangouts,1,152,0.006578947368421052
E0,iscx_tor,medium_seed2022,Vimeo,Vimeo,105,152,0.6907894736842105
E0,iscx_tor,medium_seed2022,Vimeo,YouTube,30,152,0.19736842105263158
E0,iscx_tor,medium_seed2022,YouTube,Browsing,18,200,0.09
E0,iscx_tor,medium_seed2022,YouTube,Email,1,200,0.005
E0,iscx_tor,medium_seed2022,YouTube,FTP,3,200,0.015
E0,iscx_tor,medium_seed2022,YouTube,Facebook,6,200,0.03
E0,iscx_tor,medium_seed2022,YouTube,Hangouts,3,200,0.015
E0,iscx_tor,medium_seed2022,YouTube,Spotify,2,200,0.01
E0,iscx_tor,medium_seed2022,YouTube,Vimeo,53,200,0.265
E0,iscx_tor,medium_seed2022,YouTube,YouTube,114,200,0.57
E0,iscx_vpn,medium_seed2022,AIM,AIM,38,53,0.7169811320754716
E0,iscx_vpn,medium_seed2022,AIM,Email,1,53,0.018867924528301886
E0,iscx_vpn,medium_seed2022,AIM,Gmail,3,53,0.05660377358490566
E0,iscx_vpn,medium_seed2022,AIM,ICQ,2,53,0.03773584905660377
E0,iscx_vpn,medium_seed2022,AIM,SCP,2,53,0.03773584905660377
E0,iscx_vpn,medium_seed2022,AIM,Vimeo,1,53,0.018867924528301886
E0,iscx_vpn,medium_seed2022,AIM,VoIPBuster,6,53,0.11320754716981132
E0,iscx_vpn,medium_seed2022,BitTorrent,BitTorrent,95,100,0.95
E0,iscx_vpn,medium_seed2022,BitTorrent,Email,2,100,0.02
E0,iscx_vpn,medium_seed2022,BitTorrent,FTPS,1,100,0.01
E0,iscx_vpn,medium_seed2022,BitTorrent,Netflix,2,100,0.02
E0,iscx_vpn,medium_seed2022,Email,AIM,1,200,0.005
E0,iscx_vpn,medium_seed2022,Email,Email,170,200,0.85
E0,iscx_vpn,medium_seed2022,Email,FTPS,1,200,0.005
E0,iscx_vpn,medium_seed2022,Email,Facebook,12,200,0.06
E0,iscx_vpn,medium_seed2022,Email,Gmail,1,200,0.005
E0,iscx_vpn,medium_seed2022,Email,ICQ,2,200,0.01
E0,iscx_vpn,medium_seed2022,Email,Netflix,2,200,0.01
E0,iscx_vpn,medium_seed2022,Email,SCP,6,200,0.03
E0,iscx_vpn,medium_seed2022,Email,Spotify,2,200,0.01
E0,iscx_vpn,medium_seed2022,Email,Vimeo,2,200,0.01
E0,iscx_vpn,medium_seed2022,Email,VoIPBuster,1,200,0.005
E0,iscx_vpn,medium_seed2022,FTPS,AIM,2,200,0.01
