experiment,dataset,protocol_id,class_name,precision,recall,f1,support
E3,ustc,A-2,Gmail,0.9732394366197183,0.8006952491309386,0.8785759694850604,863
E3,ustc,A-2,FTP,0.9712080736123478,0.9715925962585371,0.9714002968827313,10103
E3,ustc,A-2,Nsis-ay,0.9800664451827242,0.9719934102141681,0.9760132340777502,607
E3,ustc,A-2,Facetime,1.0,1.0,1.0,600
E3,ustc,A-2,Weibo,0.7303571428571428,0.8190237797246558,0.7721533923303835,3995
E3,ustc,A-2,Cridex,0.9993898718730934,1.0,0.9996948428440647,1638
E3,ustc,A-2,Zeus,0.9945205479452055,0.9927073837739289,0.9936131386861314,1097
E3,ustc,A-2,SMB,0.7869385342789598,0.6840482918058053,0.7318950116806376,3893
E3,ustc,A-2,BitTorrent,0.938366718027735,0.8098404255319149,0.8693790149892934,752
E3,ustc,A-2,WorldOfWarcraft,1.0,0.9961977186311787,0.9980952380952381,789
E3,ustc,A-2,Shifu,0.9989583333333333,0.995846313603323,0.9973998959958398,963
E3,ustc,A-2,Outlook,0.7824175824175824,0.9455511288180611,0.8562838244137102,753
E3,ustc,A-2,Virut,0.9368456602499156,0.8380664652567976,0.8847073831924733,3310
E3,ustc,A-2,MySQL,0.9608045977011495,0.9709606226042513,0.9658559131087874,8609
E3,ustc,A-2,Skype,0.9280469897209985,1.0,0.9626808834729627,632
E3,ustc,A-2,Miuref,0.9977494373593399,0.9866468842729971,0.9921671018276762,1348
E3,ustc,A-2,Neris,0.8551151580074987,0.944954128440367,0.8977927737944609,3379
