unknown_service,seed,true_local_label,predicted_local_label,count
Email,2022,0,0,7
Email,2022,0,1,0
Email,2022,0,2,0
Email,2022,0,3,2
Email,2022,0,4,0
Email,2022,1,0,0
Email,2022,1,1,16
Email,2022,1,2,0
Email,2022,1,3,5
Email,2022,1,4,1
Email,2022,2,0,1
Email,2022,2,1,6
Email,2022,2,2,27
Email,2022,2,3,16
Email,2022,2,4,0
Email,2022,3,0,2
Email,2022,3,1,6
Email,2022,3,2,0
Email,2022,3,3,44
Email,2022,3,4,0
Email,2022,4,0,0
Email,2022,4,1,0
Email,2022,4,2,0
Email,2022,4,3,1
Email,2022,4,4,23
Email,2023,0,0,7
Email,2023,0,1,1
Email,2023,0,2,0
Email,2023,0,3,1
Email,2023,0,4,0
Email,2023,1,0,0
Email,2023,1,1,16
Email,2023,1,2,0
Email,2023,1,3,5
Email,2023,1,4,1
Email,2023,2,0,1
Email,2023,2,1,6
Email,2023,2,2,27
Email,2023,2,3,16
Email,2023,2,4,0
Email,2023,3,0,1
Email,2023,3,1,6
Email,2023,3,2,0
Email,2023,3,3,45
Email,2023,3,4,0
Email,2023,4,0,0
Email,2023,4,1,0
Email,2023,4,2,0
Email,2023,4,3,1
Email,2023,4,4,23
Email,2024,0,0,5
Email,2024,0,1,1
Email,2024,0,2,1
Email,2024,0,3,2
Email,2024,0,4,0
Email,2024,1,0,0
Email,2024,1,1,16
Email,2024,1,2,0
Email,2024,1,3,5
Email,2024,1,4,1
Email,2024,2,0,1
Email,2024,2,1,6
Email,2024,2,2,27
Email,2024,2,3,16
Email,2024,2,4,0
Email,2024,3,0,0
Email,2024,3,1,6
Email,2024,3,2,2
Email,2024,3,3,44
Email,2024,3,4,0
Email,2024,4,0,0
Email,2024,4,1,0
Email,2024,4,2,0
Email,2024,4,3,1
Email,2024,4,4,23
Streaming,2022,0,0,7
Streaming,2022,0,1,1
Streaming,2022,0,2,0
Streaming,2022,0,3,1
Streaming,2022,0,4,0
Streaming,2022,1,0,0
Streaming,2022,1,1,9
Streaming,2022,1,2,2
Streaming,2022,1,3,1
Streaming,2022,1,4,0
Streaming,2022,2,0,1
Streaming,2022,2,1,0
Streaming,2022,2,2,16
Streaming,2022,2,3,4
Streaming,2022,2,4,1
Streaming,2022,3,0,2
Streaming,2022,3,1,0
Streaming,2022,3,2,6
Streaming,2022,3,3,41
Streaming,2022,3,4,1
Streaming,2022,4,0,0
Streaming,2022,4,1,0
Streaming,2022,4,2,0
Streaming,2022,4,3,1
Streaming,2022,4,4,23
Streaming,2023,0,0,6
Streaming,2023,0,1,1
Streaming,2023,0,2,0
Streaming,2023,0,3,1
Streaming,2023,0,4,1
Streaming,2023,1,0,0
Streaming,2023,1,1,9
Streaming,2023,1,2,2
Streaming,2023,1,3,1
Streaming,2023,1,4,0
Streaming,2023,2,0,0
Streaming,2023,2,1,0
Streaming,2023,2,2,17
Streaming,2023,2,3,4
Streaming,2023,2,4,1
Streaming,2023,3,0,1
Streaming,2023,3,1,0
Streaming,2023,3,2,6
Streaming,2023,3,3,37
Streaming,2023,3,4,6
Streaming,2023,4,0,0
Streaming,2023,4,1,1
Streaming,2023,4,2,0
Streaming,2023,4,3,1
Streaming,2023,4,4,22
Streaming,2024,0,0,7
Streaming,2024,0,1,1
Streaming,2024,0,2,0
Streaming,2024,0,3,1
Streaming,2024,0,4,0
Streaming,2024,1,0,0
Streaming,2024,1,1,9
Streaming,2024,1,2,2
Streaming,2024,1,3,1
Streaming,2024,1,4,0
Streaming,2024,2,0,0
Streaming,2024,2,1,0
Streaming,2024,2,2,16
Streaming,2024,2,3,5
Streaming,2024,2,4,1
Streaming,2024,3,0,2
Streaming,2024,3,1,0
Streaming,2024,3,2,6
Streaming,2024,3,3,42
Streaming,2024,3,4,0
Streaming,2024,4,0,0
Streaming,2024,4,1,0
Streaming,2024,4,2,0
Streaming,2024,4,3,1
Streaming,2024,4,4,23
