setting,known_class,single_absorbed_unknown,multi_absorbed_unknown,delta_absorbed,single_absorption_rate,multi_absorption_rate,unknown_samples,abs_delta_absorbed,absolute_delta_rank
A-1,Htbot,444,530,86,0.5223529411764706,0.6235294117647059,850,86,1
A-1,BitTorrent,0,0,0,0.0,0.0,850,0,2
A-1,Cridex,0,0,0,0.0,0.0,850,0,3
A-1,FTP,0,0,0,0.0,0.0,850,0,4
A-1,Facetime,0,0,0,0.0,0.0,850,0,5
A-1,Geodo,0,0,0,0.0,0.0,850,0,6
A-1,Gmail,0,0,0,0.0,0.0,850,0,7
A-1,Miuref,0,0,0,0.0,0.0,850,0,8
A-1,MySQL,0,0,0,0.0,0.0,850,0,9
A-1,Neris,0,0,0,0.0,0.0,850,0,10
A-1,Nsis-ay,0,0,0,0.0,0.0,850,0,11
A-1,Outlook,0,0,0,0.0,0.0,850,0,12
A-1,SMB,0,0,0,0.0,0.0,850,0,13
A-1,Shifu,0,0,0,0.0,0.0,850,0,14
A-1,Skype,0,0,0,0.0,0.0,850,0,15
A-1,Virut,0,0,0,0.0,0.0,850,0,16
A-1,Weibo,0,0,0,0.0,0.0,850,0,17
A-1,WorldOfWarcraft,0,0,0,0.0,0.0,850,0,18
A-1,Zeus,0,0,0,0.0,0.0,850,0,19
A-2,Miuref,3446,3462,16,0.6176734181753002,0.6205413156479656,5579,16,1
A-2,Shifu,3,2,-1,0.0005377307761247536,0.000358487184083169,5579,1,2
A-2,BitTorrent,0,0,0,0.0,0.0,5579,0,3
A-2,Cridex,0,0,0,0.0,0.0,5579,0,4
A-2,FTP,0,0,0,0.0,0.0,5579,0,5
A-2,Facetime,0,0,0,0.0,0.0,5579,0,6
A-2,Gmail,0,0,0,0.0,0.0,5579,0,7
A-2,MySQL,0,0,0,0.0,0.0,5579,0,8
A-2,Neris,0,0,0,0.0,0.0,5579,0,9
A-2,Nsis-ay,0,0,0,0.0,0.0,5579,0,10
A-2,Outlook,0,0,0,0.0,0.0,5579,0,11
A-2,SMB,0,0,0,0.0,0.0,5579,0,12
A-2,Skype,0,0,0,0.0,0.0,5579,0,13
A-2,Virut,0,0,0,0.0,0.0,5579,0,14
A-2,Weibo,0,0,0,0.0,0.0,5579,0,15
A-2,WorldOfWarcraft,0,0,0,0.0,0.0,5579,0,16
A-2,Zeus,0,0,0,0.0,0.0,5579,0,17
A-3,Virut,1198,962,-236,0.11624296526295362,0.09334368329128663,10306,236,1
A-3,BitTorrent,0,0,0,0.0,0.0,10306,0,2
A-3,Cridex,0,0,0,0.0,0.0,10306,0,3
A-3,FTP,0,0,0,0.0,0.0,10306,0,4
A-3,Facetime,0,0,0,0.0,0.0,10306,0,5
A-3,Gmail,0,0,0,0.0,0.0,10306,0,6
A-3,MySQL,0,0,0,0.0,0.0,10306,0,7
A-3,Nsis-ay,0,0,0,0.0,0.0,10306,0,8
A-3,Outlook,0,0,0,0.0,0.0,10306,0,9
A-3,SMB,0,0,0,0.0,0.0,10306,0,10
A-3,Shifu,2,2,0,0.00019406171162429653,0.00019406171162429653,10306,0,11
A-3,Skype,0,0,0,0.0,0.0,10306,0,12
A-3,Weibo,0,0,0,0.0,0.0,10306,0,13
A-3,WorldOfWarcraft,0,0,0,0.0,0.0,10306,0,14
A-3,Zeus,0,0,0,0.0,0.0,10306,0,15
