setting,class_name,detector,warning_category,warning_message,converged,n_iter
A-1,Gmail,Single-Full,,,True,2
A-1,Gmail,Multi-Full-K2,,,True,14
A-1,FTP,Single-Full,,,True,2
A-1,FTP,Multi-Full-K2,,,True,26
A-1,Nsis-ay,Single-Full,,,True,2
A-1,Nsis-ay,Multi-Full-K2,,,True,33
A-1,Facetime,Single-Full,,,True,2
A-1,Facetime,Multi-Full-K2,,,True,34
A-1,Weibo,Single-Full,,,True,2
A-1,Weibo,Multi-Full-K2,,,True,15
A-1,Cridex,Single-Full,,,True,2
A-1,Cridex,Multi-Full-K2,,,True,3
A-1,Zeus,Single-Full,,,True,2
A-1,Zeus,Multi-Full-K2,,,True,6
A-1,SMB,Single-Full,,,True,2
A-1,SMB,Multi-Full-K2,,,True,38
A-1,BitTorrent,Single-Full,,,True,2
A-1,BitTorrent,Multi-Full-K2,,,True,19
A-1,WorldOfWarcraft,Single-Full,,,True,2
A-1,WorldOfWarcraft,Multi-Full-K2,,,True,13
A-1,Shifu,Single-Full,,,True,2
A-1,Shifu,Multi-Full-K2,,,True,8
A-1,Outlook,Single-Full,,,True,2
A-1,Outlook,Multi-Full-K2,,,True,21
A-1,Virut,Single-Full,,,True,2
A-1,Virut,Multi-Full-K2,,,True,18
A-1,Geodo,Single-Full,,,True,2
A-1,Geodo,Multi-Full-K2,,,True,22
A-1,MySQL,Single-Full,,,True,2
A-1,MySQL,Multi-Full-K2,,,True,9
A-1,Htbot,Single-Full,,,True,2
A-1,Htbot,Multi-Full-K2,,,True,12
A-1,Skype,Single-Full,,,True,2
A-1,Skype,Multi-Full-K2,,,True,17
A-1,Miuref,Single-Full,,,True,2
A-1,Miuref,Multi-Full-K2,,,True,3
A-1,Neris,Single-Full,,,True,2
A-1,Neris,Multi-Full-K2,,,True,15
