setting,class_name,train_samples,validation_samples,train_component_weights,validation_empirical_weights,validation_component_counts,total_variation,min_component_weight,tiny_component_lt_1pct,very_tiny_component_lt_0_5pct,validation_empty_component,converged,n_iter
A-1,Gmail,6903,863,"[0.2924397423323239, 0.7075602576676762]","[0.287369640787949, 0.712630359212051]","[248, 615]",0.005070101544374844,0.2924397423323239,False,False,False,True,14
A-1,FTP,80830,10103,"[0.6413024116335276, 0.35869758836647236]","[0.6412946649510046, 0.3587053350489953]","[6479, 3624]",7.746682522985493e-06,0.35869758836647236,False,False,False,True,26
A-1,Nsis-ay,4855,607,"[0.6226079623973557, 0.3773920376026442]","[0.6392092257001647, 0.36079077429983525]","[388, 219]",0.016601263302808977,0.3773920376026442,False,False,False,True,33
A-1,Facetime,4800,600,"[0.8952313027053803, 0.1047686972946196]","[0.89, 0.11]","[534, 66]",0.0052313027053803515,0.1047686972946196,False,False,False,True,34
A-1,Weibo,31960,3995,"[0.04546386825476379, 0.9545361317452362]","[0.0460575719649562, 0.9539424280350438]","[184, 3811]",0.0005937037101924059,0.04546386825476379,False,False,False,True,15
A-1,Cridex,13108,1638,"[0.4988556606652426, 0.5011443393347574]","[0.5054945054945055, 0.4945054945054945]","[828, 810]",0.0066388448292628854,0.4988556606652426,False,False,False,True,3
A-1,Zeus,8776,1097,"[0.4727666362807657, 0.5272333637192342]","[0.4886052871467639, 0.5113947128532361]","[536, 561]",0.015838650865998144,0.4727666362807657,False,False,False,True,6
A-1,SMB,31150,3893,"[0.21955923318525597, 0.7804407668147441]","[0.21063447212946315, 0.7893655278705368]","[820, 3073]",0.00892476105579279,0.21955923318525597,False,False,False,True,38
A-1,BitTorrent,6014,752,"[0.11807092237755394, 0.8819290776224461]","[0.12898936170212766, 0.8710106382978723]","[97, 655]",0.010918439324573766,0.11807092237755394,False,False,False,True,19
A-1,WorldOfWarcraft,6306,789,"[0.016329645688468064, 0.9836703543115319]","[0.008871989860583017, 0.991128010139417]","[7, 782]",0.007457655827885047,0.016329645688468064,False,False,False,True,13
A-1,Shifu,7705,963,"[0.4069131617105138, 0.5930868382894862]","[0.39460020768431986, 0.6053997923156802]","[380, 583]",0.012312954026193978,0.4069131617105138,False,False,False,True,8
A-1,Outlook,6019,753,"[0.9288550748352984, 0.07114492516470165]","[0.9256308100929614, 0.07436918990703852]","[697, 56]",0.0032242647423369047,0.07114492516470165,False,False,False,True,21
A-1,Virut,26482,3310,"[0.5771466515045689, 0.42285334849543105]","[0.5673716012084592, 0.4326283987915408]","[1878, 1432]",0.009775050296109727,0.42285334849543105,False,False,False,True,18
A-1,Geodo,32756,4094,"[0.7847725530501714, 0.21522744694982873]","[0.7801660967269174, 0.21983390327308255]","[3194, 900]",0.004606456323253891,0.21522744694982873,False,False,False,True,22
A-1,MySQL,68871,8609,"[0.5023376009925571, 0.4976623990074428]","[0.4997096062260425, 0.5002903937739575]","[4302, 4307]",0.002627994766514624,0.4976623990074428,False,False,False,True,9
A-1,Htbot,5071,634,"[0.7365412036489323, 0.2634587963510677]","[0.7334384858044164, 0.2665615141955836]","[465, 169]",0.0031027178445158787,0.2634587963510677,False,False,False,True,12
A-1,Skype,5057,632,"[0.8682236406506909, 0.13177635934930906]","[0.865506329113924, 0.13449367088607594]","[547, 85]",0.002717311536766895,0.13177635934930906,False,False,False,True,17
A-1,Miuref,10782,1348,"[0.6350398812836209, 0.3649601187163791]","[0.6550445103857567, 0.3449554896142433]","[883, 465]",0.020004629102135824,0.3649601187163791,False,False,False,True,3
A-1,Neris,27033,3379,"[0.37404064944575627, 0.6259593505542438]","[0.37022787807043506, 0.629772121929565]","[1251, 2128]",0.003812771375321211,0.37404064944575627,False,False,False,True,15
