replicate,delta_unknown_far_multi_minus_single,delta_auroc_multi_minus_single,delta_auprc_multi_minus_single
0,0.0014339487363326242,0.018900929023856095,0.017549018366256275
1,0.0016131923283743133,0.01757249458517407,0.014724223709004114
2,0.00555655135328903,0.0196551610084148,0.015536514097460263
3,0.0035848718408316715,0.021756243209182013,0.016354180804623197
4,0.0008962179602080012,0.019263743005623946,0.016235018652373867
5,0.0025094102885822034,0.017605379902185248,0.015060530589004972
6,0.007169743681663343,0.0185885350583207,0.013271372926493719
7,0.0010754615522495792,0.018564166831589568,0.015698336570541538
8,0.0034056282487900935,0.0165806816971511,0.014749444901668407
9,0.0035848718408316715,0.01912880979293141,0.018607341197855398
10,0.003943359024914828,0.01578694183048235,0.010569771727494126
11,0.005556551353289141,0.01937877129435961,0.018251200358938846
12,0.0037641154328733606,0.01631682563222081,0.01614689952608167
13,0.0012547051442911572,0.017607601212277668,0.01642977631534248
14,0.0007169743681663121,0.019762789066693487,0.018526653774166568
15,0.005735794945330719,0.018707509585097815,0.01077927754702429
16,0.0023301666965406254,0.017362785539071113,0.018961271600535512
17,0.0034056282487900935,0.018218858593418208,0.013070957216201384
18,0.004301846208998095,0.019416686617092394,0.019333672657820822
19,0.00466033339308114,0.019431958641042746,0.0172985884285885
20,0.0017924359204158913,0.018462127208944024,0.015005303302002115
21,0.0026886538806236704,0.018373903555960913,0.0159741561537336
22,0.0026886538806236704,0.01710742588183156,0.013673568160357086
23,0.0026886538806237814,0.019457687782150845,0.013619372416563802
24,0.005018820577164407,0.018823807784817292,0.019411946240969036
25,0.0032263846567485155,0.018472240995119127,0.016064919358804386
26,0.0034056282487902045,0.01842991200782651,0.017003858119969684
27,0.004301846208997984,0.01831743181409451,0.015002261829184349
28,0.0026886538806237814,0.018619567215329424,0.015151397799074318
29,0.0026886538806237814,0.018669834180401024,0.016074569295787544
30,0.0019716795124574693,0.01874442800702547,0.01532449455115742
31,0.005018820577164296,0.01724603232238664,0.01480176849252468
32,0.005377307761247563,0.019105645292898266,0.01522195958795497
33,0.0014339487363326242,0.018182196635597947,0.020045823706590138
34,0.0025094102885822034,0.019969507410381504,0.013871973148163963
35,0.0008962179602078901,0.017422624406477905,0.016828292171741865
36,0.0017924359204158913,0.018107400119598327,0.014757691607015122
37,0.004301846208997984,0.018185828498281764,0.018920813923631874
38,0.0008962179602078901,0.019767926621879428,0.015685565176687954
39,0.003943359024914939,0.01798419807156526,0.012796391372422666
40,0.0035848718408316715,0.01867991901095134,0.015254371836194935
41,0.0003584871840832671,0.01960057138217619,0.01614507428258366
42,0.006452769313497031,0.02131725525096606,0.013865200711914771
43,0.0030471410647069375,0.017756238708650507,0.016079718414322153
44,0.006990500089621765,0.017763940904911513,0.013057399100079026
45,0.0037641154328732496,0.017748681290514767,0.013595219452246787
46,0.00466033339308114,0.01900757259088337,0.01403012166209816
47,0.0021509231044990473,0.018991609768449824,0.013026660102817389
48,0.0016131923283743133,0.019200921708837915,0.01511764766955287
49,0.004839576985122829,0.01880878808845665,0.013943577331932133
50,0.0021509231044990473,0.017507042463027034,0.014976466694752388
51,0.004660333393081251,0.018696605724010773,0.017438052579054453
52,0.0003584871840832671,0.019180826505059256,0.018932132484497155
53,0.0025094102885822034,0.020117888442646836,0.021292094786510563
54,0.0021509231044990473,0.017777301857609284,0.014798794266604576
55,0.006811256497580187,0.019957234361881793,0.011201167935010858
56,0.004839576985122718,0.01815585528984609,0.012903412609563736
