setting,split,y_global,y_local,count,ratio,same_class
A-1,Known Validation,BitTorrent,BitTorrent,751,0.015626625606025926,True
A-1,Known Validation,Cridex,Cridex,1638,0.034083106181984645,True
A-1,Known Validation,FTP,FTP,10101,0.2101791547889053,True
A-1,Known Validation,Facetime,Facetime,600,0.012484654279115255,True
A-1,Known Validation,Geodo,Geodo,4041,0.08408414656984124,True
A-1,Known Validation,Gmail,Gmail,861,0.01791547889053039,True
A-1,Known Validation,Htbot,Htbot,700,0.01456542999230113,True
A-1,Known Validation,Miuref,Miuref,1345,0.02798643334235003,True
A-1,Known Validation,MySQL,MySQL,8609,0.17913398114817203,True
A-1,Known Validation,Neris,Neris,4043,0.08412576208410495,True
A-1,Known Validation,Nsis-ay,Nsis-ay,643,0.01337938783578518,True
A-1,Known Validation,Outlook,Outlook,752,0.015647433363157784,True
A-1,Known Validation,SMB,SMB,3890,0.08094217524293057,True
A-1,Known Validation,Shifu,Shifu,955,0.019871408060925112,True
A-1,Known Validation,Skype,Skype,635,0.013212925778730312,True
A-1,Known Validation,Virut,Virut,2611,0.054329053871283214,True
A-1,Known Validation,Weibo,Weibo,4000,0.08323102852743502,True
A-1,Known Validation,WorldOfWarcraft,WorldOfWarcraft,789,0.01641732037703656,True
A-1,Known Validation,Zeus,Zeus,1095,0.02278449405938534,True
A-1,Known Test,BitTorrent,BitTorrent,751,0.015625975323026987,True
A-1,Known Test,Cridex,Cridex,1639,0.03410249474625996,True
A-1,Known Test,FTP,FTP,10101,0.2101704084392751,True
A-1,Known Test,Facetime,Facetime,600,0.012484134745427686,True
A-1,Known Test,Geodo,Geodo,4033,0.08391419238051642,True
A-1,Known Test,Gmail,Gmail,863,0.01795634714217349,True
A-1,Known Test,Htbot,Htbot,710,0.014772892782089427,True
A-1,Known Test,Miuref,Miuref,1346,0.028006075612242776,True
A-1,Known Test,MySQL,MySQL,8609,0.1791265267056449,True
A-1,Known Test,Neris,Neris,4055,0.08437194398784878,True
A-1,Known Test,Nsis-ay,Nsis-ay,647,0.013462058633819522,True
A-1,Known Test,Outlook,Outlook,749,0.015584361540542227,True
A-1,Known Test,SMB,SMB,3891,0.08095961382409854,True
A-1,Known Test,Shifu,Shifu,955,0.0198705811364724,True
A-1,Known Test,Skype,Skype,635,0.013212375938910966,True
A-1,Known Test,Virut,Virut,2599,0.05407711033894426,True
A-1,Known Test,Weibo,Weibo,3998,0.08318595118703315,True
A-1,Known Test,WorldOfWarcraft,WorldOfWarcraft,788,0.016395830298995027,True
A-1,Known Test,Zeus,Zeus,1092,0.022721125236678387,True
A-2,Known Validation,BitTorrent,BitTorrent,751,0.017331702476287184,True
A-2,Known Validation,Cridex,Cridex,1638,0.03780203549421892,True
A-2,Known Validation,FTP,FTP,10100,0.2330894740486026,True
A-2,Known Validation,Facetime,Facetime,600,0.013846899448431838,True
A-2,Known Validation,Gmail,Gmail,861,0.01987030070849969,True
A-2,Known Validation,Miuref,Miuref,1351,0.031178601924719024,True
A-2,Known Validation,MySQL,MySQL,8607,0.19863377258775472,True
A-2,Known Validation,Neris,Neris,3928,0.09065103505573377,True
A-2,Known Validation,Nsis-ay,Nsis-ay,618,0.014262306431884794,True
A-2,Known Validation,Outlook,Outlook,755,0.01742401513927673,True
A-2,Known Validation,SMB,SMB,3894,0.08986637742032264,True
A-2,Known Validation,Shifu,Shifu,959,0.022131960951743555,True
A-2,Known Validation,Skype,Skype,634,0.014631557083842976,True
A-2,Known Validation,Virut,Virut,2755,0.06358034663404953,True
A-2,Known Validation,Weibo,Weibo,3997,0.09224342849230344,True
A-2,Known Validation,WorldOfWarcraft,WorldOfWarcraft,789,0.018208672774687868,True
A-2,Known Validation,Zeus,Zeus,1094,0.02524751332764072,True
A-2,Known Test,BitTorrent,BitTorrent,750,0.01730822486845749,True
A-2,Known Test,Cridex,Cridex,1639,0.037824240745869105,True
A-2,Known Test,FTP,FTP,10101,0.23310717252838548,True
A-2,Known Test,Facetime,Facetime,600,0.013846579894765993,True
A-2,Known Test,Gmail,Gmail,868,0.020031385581094803,True
A-2,Known Test,Miuref,Miuref,1349,0.03113172713006554,True
A-2,Known Test,MySQL,MySQL,8606,0.19860611095726022,True
A-2,Known Test,Neris,Neris,3918,0.09041816671282193,True
A-2,Known Test,Nsis-ay,Nsis-ay,629,0.014515831256346349,True
A-2,Known Test,Outlook,Outlook,750,0.01730822486845749,True
A-2,Known Test,SMB,SMB,3893,0.08984122588387335,True
A-2,Known Test,Shifu,Shifu,958,0.022108372565309703,True
A-2,Known Test,Skype,Skype,633,0.014608141788978122,True
A-2,Known Test,Virut,Virut,2763,0.0637635004153974,True
A-2,Known Test,Weibo,Weibo,3995,0.09219514446598356,True
A-2,Known Test,WorldOfWarcraft,WorldOfWarcraft,788,0.018185174928459336,True
A-2,Known Test,Zeus,Zeus,1092,0.025200775408474107,True
A-3,Known Validation,BitTorrent,BitTorrent,753,0.019505750699409387,True
A-3,Known Validation,Cridex,Cridex,1638,0.042430836182778986,True
A-3,Known Validation,FTP,FTP,10101,0.26165682312713706,True
A-3,Known Validation,Facetime,Facetime,600,0.015542430836182779,True
A-3,Known Validation,Gmail,Gmail,859,0.022251580147135012,True
A-3,Known Validation,MySQL,MySQL,8608,0.2229820743964356,True
A-3,Known Validation,Nsis-ay,Nsis-ay,626,0.016215936172417365,True
A-3,Known Validation,Outlook,Outlook,756,0.019583462853590302,True
A-3,Known Validation,SMB,SMB,3893,0.1008444720754326,True
A-3,Known Validation,Shifu,Shifu,963,0.02494560149207336,True
A-3,Known Validation,Skype,Skype,631,0.016345456429385556,True
A-3,Known Validation,Virut,Virut,3294,0.08532794529064346,True
A-3,Known Validation,Weibo,Weibo,3996,0.10351258936897731,True
A-3,Known Validation,WorldOfWarcraft,WorldOfWarcraft,790,0.02046420060097399,True
A-3,Known Validation,Zeus,Zeus,1096,0.02839084032742721,True
A-3,Known Test,BitTorrent,BitTorrent,751,0.019453438673746923,True
A-3,Known Test,Cridex,Cridex,1639,0.04245564046108017,True
A-3,Known Test,FTP,FTP,10101,0.2616500453309157,True
A-3,Known Test,Facetime,Facetime,600,0.015542028234684627,True
A-3,Known Test,Gmail,Gmail,861,0.02230281051677244,True
A-3,Known Test,MySQL,MySQL,8609,0.22300220178733324,True
A-3,Known Test,Nsis-ay,Nsis-ay,621,0.01608599922289859,True
A-3,Known Test,Outlook,Outlook,754,0.019531148814920348,True
A-3,Known Test,SMB,SMB,3895,0.10089366662349436,True
A-3,Known Test,Shifu,Shifu,963,0.024944955316668824,True
A-3,Known Test,Skype,Skype,631,0.016345033026809997,True
A-3,Known Test,Virut,Virut,3300,0.08548115529076544,True
A-3,Known Test,Weibo,Weibo,3996,0.10350990804299962,True
A-3,Known Test,WorldOfWarcraft,WorldOfWarcraft,788,0.02041186374821914,True
A-3,Known Test,Zeus,Zeus,1096,0.028390104908690584,True
