class_name,total_samples,aes-128-gcm,aes-256-gcm,chacha20-poly1305,unique_split_groups,manual_review_required
adblockplus.org,3000,1000,1000,1000,571,0
arin.net,3000,1000,1000,1000,530,0
cloudfront.net,3000,1000,1000,1000,469,0
coinbase.com,3000,1000,1000,1000,509,0
cookielaw.org,3000,1000,1000,1000,2034,0
ctfassets.net,3000,1000,1000,1000,1350,0
doubleclick.net,3000,1000,1000,1000,1157,0
flipboard.com,3000,1000,1000,1000,262,0
garmin.com,3000,1000,1000,1000,405,0
gmx.net,3000,1000,1000,1000,437,207
google-analytics.com,3000,1000,1000,1000,2762,0
google.com,3000,1000,1000,1000,2097,0
googleapis.com,3000,1000,1000,1000,2076,0
googletagmanager.com,3000,1000,1000,1000,2766,0
gstatic.com,3000,1000,1000,1000,1711,0
hotjar.com,3000,1000,1000,1000,1880,0
hs-scripts.com,3000,1000,1000,1000,2929,0
hsadspixel.net,3000,1000,1000,1000,3000,0
hubspot.com,3000,1000,1000,1000,1859,0
joinhoney.com,3000,1000,1000,1000,493,0
like-video.com,3000,1000,1000,1000,672,0
logitech.com,3000,1000,1000,1000,961,0
mozilla.net,3000,1000,1000,1000,1022,0
naver.com,3000,1000,1000,1000,339,265
onetrust.com,3000,1000,1000,1000,2913,0
qualified.com,3000,1000,1000,1000,925,0
robinhood.com,3000,1000,1000,1000,400,0
segment.com,3000,1000,1000,1000,1971,0
sharethis.com,3000,1000,1000,1000,445,0
steamstatic.com,3000,1000,1000,1000,406,1000
trustarc.com,3000,1000,1000,1000,1684,0
twitter.com,3000,1000,1000,1000,1827,0
typekit.net,3000,1000,1000,1000,1304,391
ubuntu.com,3000,1000,1000,1000,314,649
waze.com,3000,1000,1000,1000,464,0
web.de,3000,1000,1000,1000,507,179
wistia.com,3000,1000,1000,1000,597,0
xnxx-cdn.com,3000,1000,1000,1000,277,1000
yahoo.co.jp,3000,1000,1000,1000,373,55
yimg.jp,3000,1000,1000,1000,402,173
