setting,class_name,validation_samples,NLL_K1,NLL_K2,DeltaNLL2,K2_validation_NLL_better,interpretation_limit
high,adblockplus.org,450,6.3624043464660645,-21.54878044128418,27.911184787750244,True,density fit only; not Unknown utility
high,arin.net,451,-7.15229606628418,-23.8746337890625,16.72233772277832,True,density fit only; not Unknown utility
high,cloudfront.net,310,13.189997673034668,2.841681480407715,10.348316192626953,True,density fit only; not Unknown utility
high,coinbase.com,453,24.436599731445312,9.613985061645508,14.822614669799805,True,density fit only; not Unknown utility
high,ctfassets.net,425,22.732778549194336,1.4957289695739746,21.23704957962036,True,density fit only; not Unknown utility
high,flipboard.com,273,41.16490173339844,27.89253807067871,13.272363662719727,True,density fit only; not Unknown utility
high,garmin.com,288,39.28231430053711,24.854469299316406,14.427845001220703,True,density fit only; not Unknown utility
high,google-analytics.com,238,-2.6464483737945557,-15.180020332336426,12.53357195854187,True,density fit only; not Unknown utility
high,google.com,341,38.891998291015625,21.24294662475586,17.649051666259766,True,density fit only; not Unknown utility
high,googleapis.com,222,22.771221160888672,9.091113090515137,13.680108070373535,True,density fit only; not Unknown utility
high,googletagmanager.com,236,10.744285583496094,-6.193087100982666,16.93737268447876,True,density fit only; not Unknown utility
high,gstatic.com,203,19.21526527404785,6.344899654388428,12.870365619659424,True,density fit only; not Unknown utility
high,hotjar.com,351,33.871456146240234,10.481599807739258,23.389856338500977,True,density fit only; not Unknown utility
high,hs-scripts.com,203,-19.896974563598633,-38.090511322021484,18.19353675842285,True,density fit only; not Unknown utility
high,hubspot.com,186,-40.911434173583984,-42.65987014770508,1.7484359741210938,True,density fit only; not Unknown utility
high,joinhoney.com,449,28.392534255981445,8.678271293640137,19.71426296234131,True,density fit only; not Unknown utility
high,like-video.com,450,-8.920859336853027,-21.016313552856445,12.095454216003418,True,density fit only; not Unknown utility
high,logitech.com,335,55.86234664916992,41.23925018310547,14.623096466064453,True,density fit only; not Unknown utility
high,mozilla.net,379,17.44454002380371,-17.63083839416504,35.07537841796875,True,density fit only; not Unknown utility
high,qualified.com,416,47.61189270019531,16.186134338378906,31.425758361816406,True,density fit only; not Unknown utility
high,robinhood.com,450,46.703575134277344,24.295042037963867,22.408533096313477,True,density fit only; not Unknown utility
high,segment.com,319,31.362730026245117,1.6044564247131348,29.758273601531982,True,density fit only; not Unknown utility
high,steamstatic.com,451,35.46024703979492,19.942527770996094,15.517719268798828,True,density fit only; not Unknown utility
high,trustarc.com,370,41.469337463378906,21.977691650390625,19.49164581298828,True,density fit only; not Unknown utility
high,typekit.net,247,16.762435913085938,4.168985366821289,12.593450546264648,True,density fit only; not Unknown utility
high,ubuntu.com,454,-5.808134078979492,-26.423425674438477,20.615291595458984,True,density fit only; not Unknown utility
high,waze.com,452,11.740135192871094,-9.085580825805664,20.825716018676758,True,density fit only; not Unknown utility
high,web.de,433,15.083475112915039,-1.9934383630752563,17.076913475990295,True,density fit only; not Unknown utility
high,yahoo.co.jp,458,31.93906593322754,16.950712203979492,14.988353729248047,True,density fit only; not Unknown utility
high,yimg.jp,447,30.893037796020508,13.489157676696777,17.40388011932373,True,density fit only; not Unknown utility
