setting,class_name,validation_samples,NLL_K1,NLL_K2,DeltaNLL2,K2_validation_NLL_better,interpretation_limit
low,adblockplus.org,451,23.75138282775879,-22.726696014404297,46.478078842163086,True,density fit only; not Unknown utility
low,arin.net,450,15.976901054382324,-0.3625463843345642,16.33944743871689,True,density fit only; not Unknown utility
low,cloudfront.net,300,39.792564392089844,47.90411376953125,-8.111549377441406,False,density fit only; not Unknown utility
low,cookielaw.org,450,-15.144097328186035,-39.55015563964844,24.406058311462402,True,density fit only; not Unknown utility
low,ctfassets.net,300,22.673131942749023,5.119076251983643,17.55405569076538,True,density fit only; not Unknown utility
low,doubleclick.net,387,50.42131042480469,40.43123245239258,9.99007797241211,True,density fit only; not Unknown utility
low,flipboard.com,447,70.18295288085938,60.73092269897461,9.452030181884766,True,density fit only; not Unknown utility
low,garmin.com,451,46.36610412597656,25.270517349243164,21.0955867767334,True,density fit only; not Unknown utility
low,gmx.net,449,36.18342590332031,23.58098602294922,12.602439880371094,True,density fit only; not Unknown utility
low,google-analytics.com,447,17.198448181152344,-1.2401769161224365,18.43862509727478,True,density fit only; not Unknown utility
low,google.com,432,58.669464111328125,43.26804733276367,15.401416778564453,True,density fit only; not Unknown utility
low,googleapis.com,402,44.45686721801758,32.14152908325195,12.315338134765625,True,density fit only; not Unknown utility
low,googletagmanager.com,426,31.608989715576172,8.037044525146484,23.571945190429688,True,density fit only; not Unknown utility
low,gstatic.com,398,30.12594223022461,13.655384063720703,16.470558166503906,True,density fit only; not Unknown utility
low,hotjar.com,450,48.16999816894531,31.15969467163086,17.010303497314453,True,density fit only; not Unknown utility
low,hs-scripts.com,429,-12.644577026367188,-32.563655853271484,19.919078826904297,True,density fit only; not Unknown utility
low,hsadspixel.net,422,-16.038795471191406,-37.462703704833984,21.423908233642578,True,density fit only; not Unknown utility
low,hubspot.com,399,-27.923398971557617,-40.4901008605957,12.566701889038086,True,density fit only; not Unknown utility
low,joinhoney.com,451,45.00215530395508,24.90818977355957,20.093965530395508,True,density fit only; not Unknown utility
low,like-video.com,450,12.686698913574219,0.5682240724563599,12.118474841117859,True,density fit only; not Unknown utility
low,logitech.com,450,71.16946411132812,50.79499816894531,20.374465942382812,True,density fit only; not Unknown utility
low,mozilla.net,450,37.270320892333984,-3.431960344314575,40.70228123664856,True,density fit only; not Unknown utility
low,naver.com,449,53.76156997680664,36.51142120361328,17.25014877319336,True,density fit only; not Unknown utility
low,onetrust.com,450,7.889543056488037,-15.76986312866211,23.659406185150146,True,density fit only; not Unknown utility
low,qualified.com,249,57.99406814575195,21.793655395507812,36.20041275024414,True,density fit only; not Unknown utility
low,robinhood.com,450,55.99379348754883,37.19660568237305,18.79718780517578,True,density fit only; not Unknown utility
low,sharethis.com,451,63.608951568603516,52.72541809082031,10.883533477783203,True,density fit only; not Unknown utility
low,steamstatic.com,451,52.5394172668457,41.95664596557617,10.582771301269531,True,density fit only; not Unknown utility
low,trustarc.com,418,53.506839752197266,40.20015335083008,13.306686401367188,True,density fit only; not Unknown utility
low,twitter.com,422,37.48760986328125,20.903615951538086,16.583993911743164,True,density fit only; not Unknown utility
low,typekit.net,451,19.31593894958496,2.847055673599243,16.468883275985718,True,density fit only; not Unknown utility
low,ubuntu.com,450,16.090051651000977,-2.7711875438690186,18.861239194869995,True,density fit only; not Unknown utility
low,waze.com,450,27.96177864074707,2.0024709701538086,25.95930767059326,True,density fit only; not Unknown utility
low,web.de,450,31.528602600097656,15.341818809509277,16.18678379058838,True,density fit only; not Unknown utility
low,wistia.com,449,63.82902145385742,43.44342041015625,20.385601043701172,True,density fit only; not Unknown utility
low,xnxx-cdn.com,451,38.127681732177734,22.531448364257812,15.596233367919922,True,density fit only; not Unknown utility
low,yahoo.co.jp,460,54.87748336791992,43.4561653137207,11.421318054199219,True,density fit only; not Unknown utility
low,yimg.jp,450,54.60774612426758,33.80815505981445,20.799591064453125,True,density fit only; not Unknown utility
