setting,class_name,support,acceptance,FRR
high,adblockplus.org,450,0.98,0.020000000000000018
high,arin.net,451,0.9733924611973392,0.026607538802660757
high,cloudfront.net,310,0.967741935483871,0.032258064516129004
high,coinbase.com,453,0.9735099337748344,0.026490066225165587
high,ctfassets.net,425,0.9694117647058823,0.030588235294117694
high,flipboard.com,273,0.9706959706959707,0.02930402930402931
high,garmin.com,288,0.9548611111111112,0.04513888888888884
high,google-analytics.com,238,0.9789915966386554,0.021008403361344574
high,google.com,341,0.9618768328445748,0.038123167155425186
high,googleapis.com,222,0.9459459459459459,0.05405405405405406
high,googletagmanager.com,236,0.9830508474576272,0.016949152542372836
high,gstatic.com,203,0.9704433497536946,0.029556650246305383
high,hotjar.com,351,0.98005698005698,0.019943019943019946
high,hs-scripts.com,203,0.9950738916256158,0.0049261083743842304
high,hubspot.com,186,0.9838709677419355,0.016129032258064502
high,joinhoney.com,449,0.9732739420935412,0.026726057906458767
high,like-video.com,450,0.9755555555555555,0.02444444444444449
high,logitech.com,335,0.9402985074626866,0.05970149253731338
high,mozilla.net,379,0.9604221635883905,0.0395778364116095
high,qualified.com,416,0.9350961538461539,0.06490384615384615
high,robinhood.com,450,0.96,0.040000000000000036
high,segment.com,319,0.9749216300940439,0.025078369905956133
high,steamstatic.com,451,0.9578713968957872,0.04212860310421285
high,trustarc.com,370,0.9756756756756757,0.024324324324324298
high,typekit.net,247,0.9919028340080972,0.0080971659919028
high,ubuntu.com,454,0.9823788546255506,0.017621145374449365
high,waze.com,452,0.9756637168141593,0.02433628318584069
high,web.de,433,0.9792147806004619,0.020785219399538146
high,yahoo.co.jp,458,0.962882096069869,0.037117903930131035
high,yimg.jp,447,0.9552572706935123,0.044742729306487705
