setting,class_name,support,acceptance,FRR
medium,adblockplus.org,450,0.9577777777777777,0.04222222222222227
medium,arin.net,451,0.9844789356984479,0.01552106430155209
medium,cloudfront.net,307,0.9641693811074918,0.03583061889250816
medium,coinbase.com,452,0.9823008849557522,0.017699115044247815
medium,cookielaw.org,145,0.9862068965517241,0.01379310344827589
medium,ctfassets.net,425,0.9623529411764706,0.03764705882352937
medium,flipboard.com,276,0.9601449275362319,0.03985507246376807
medium,garmin.com,286,0.9755244755244755,0.02447552447552448
medium,gmx.net,450,0.9533333333333334,0.046666666666666634
medium,google-analytics.com,234,0.9786324786324786,0.021367521367521403
medium,google.com,355,0.9661971830985916,0.033802816901408406
medium,googleapis.com,241,0.975103734439834,0.024896265560165998
medium,googletagmanager.com,248,0.9838709677419355,0.016129032258064502
medium,gstatic.com,217,0.9815668202764977,0.018433179723502335
medium,hsadspixel.net,219,0.9863013698630136,0.013698630136986356
medium,hubspot.com,130,0.9692307692307692,0.03076923076923077
medium,joinhoney.com,452,0.9424778761061947,0.05752212389380529
medium,like-video.com,450,0.9777777777777777,0.022222222222222254
medium,logitech.com,354,0.9322033898305084,0.06779661016949157
medium,mozilla.net,415,0.9734939759036144,0.026506024096385583
medium,qualified.com,416,0.9663461538461539,0.033653846153846145
medium,robinhood.com,450,0.9733333333333334,0.026666666666666616
medium,segment.com,367,0.9809264305177112,0.019073569482288777
medium,sharethis.com,451,0.9689578713968958,0.03104212860310418
medium,steamstatic.com,451,0.9467849223946785,0.053215077605321515
medium,trustarc.com,388,0.9819587628865979,0.01804123711340211
medium,twitter.com,390,0.9846153846153847,0.01538461538461533
medium,typekit.net,277,0.9891696750902527,0.010830324909747335
medium,waze.com,453,0.9668874172185431,0.0331125827814569
medium,web.de,452,0.9712389380530974,0.028761061946902644
medium,wistia.com,156,0.9807692307692307,0.019230769230769273
medium,xnxx-cdn.com,449,0.9844097995545658,0.015590200445434244
medium,yahoo.co.jp,461,0.9522776572668112,0.04772234273318876
medium,yimg.jp,450,0.9555555555555556,0.0444444444444444
